analysis_unit,campo,timepoint_h,imagej,ai
Migração (PET e PEP) n3 - RAW||None||D4||c1,1,12,0.103,0.1317015347114531
Migração (PET e PEP) n3 - RAW||None||D4||c1,1,24,0.4371,0.4494089109945868
Originais (1)||None||A1||c1,1,8,0.5074,0.5017089461149142
Originais (1)||None||A1||c1,1,12,0.7203,0.7019024604357021
Originais (1)||None||A1||c1,1,24,1.0,1.0
Originais (1)||None||A1||c2,2,8,0.489,0.4818135565920059
Originais (1)||None||A1||c2,2,12,0.7077,0.7027187506128325
Originais (1)||None||A1||c2,2,24,1.0,1.0
Originais (1)||None||A5||c1,1,8,0.6163,0.6230403219315894
Originais (1)||None||A5||c1,1,12,0.8311,0.8341740684104628
Originais (1)||None||A5||c1,1,24,1.0,1.0
Originais (1)||None||A5||c2,2,8,0.5978,0.6089264389402269
Originais (1)||None||A5||c2,2,12,0.8303,0.8357091294089642
Originais (1)||None||A5||c2,2,24,1.0,1.0
Originais (1)||None||B5||c1,1,8,0.5039,0.5190558828214585
Originais (1)||None||B5||c1,1,12,0.6416,0.6454806470248107
Originais (1)||None||B5||c2,2,8,0.2352,0.27352112085328434
Originais (1)||None||B5||c2,2,12,0.2843,0.30061882248890665
Originais (1)||None||D1||c2,2,8,0.2561,0.3119954771917409
Originais (1)||None||D1||c2,2,12,0.432,0.45449086397922345
P1|CT|F10,F10,48,1.0,1.0
P1|CT|F8,F8,24,1.0,1.0
P1|CT|F8,F8,48,1.0,1.0
P1|PTX|F2,F2,24,0.4384,0.45155945565632544
P1|PTX|F2,F2,48,0.7695,0.7752676282224282
P1|PTX|F9,F9,24,0.1489,0.11314340503733163
P1|PTX|F9,F9,48,0.4793,0.47951910528325
P2|CARBO+GEO|F14,F14,48,0.4971,0.48056629576375587
P2|CARBO+GEO|F8,F8,24,0.5044,0.5252014243768087
P2|CARBO+GEO|F8,F8,48,0.5957,0.61438408462569
P2|CARBO|F9,F9,24,0.5362,0.5449368730302543
P2|CARBO|F9,F9,48,1.0,1.0
P2|CT|F15,F15,24,0.7131,0.7124709430575046
P2|CT|F15,F15,48,1.0,1.0
P2|CT|F9,F9,24,0.8479,0.839389449121799
P2|CT|F9,F9,48,1.0,1.0
P2|GEO|F11,F11,24,0.4712,0.44611857357085966
Pré-Eclâmpsia||None||B6||c1,1,12,0.7135,0.7175473311949736
Pré-Eclâmpsia||None||B6||c1,1,24,1.0,1.0
Saudável||None||B1||c1,1,12,0.2474,0.24880704298489242
Saudável||None||B1||c1,1,24,0.8772,0.8735685040379879
Saudável||None||B1||c2,2,24,0.6237,0.6182328184448118
originais||None||A1||c1,1,8,0.4187,0.41424690422230936
originais||None||A1||c2,2,8,0.2655,0.275741566407102
originais||None||B5||c1,1,24,0.4674,0.47403689005513483
originais||None||D1||c1,1,8,0.4376,0.41575051328453666
originais||None||D1||c1,1,12,0.5513,0.5433000003726204
originais||None||D1||c1,1,24,0.8835,0.8804814751791372
originais||None||D1||c2,2,8,0.4467,0.4233009682338626
originais||None||D1||c2,2,12,0.5702,0.5492342273956028
originais||None||D1||c2,2,24,0.7929,0.7716227037585057
originais||None||D4||c1,1,8,0.6003,0.6145115497995726
originais||None||D4||c1,1,24,0.8093,0.810483395303945
