analysis_unit,campo,timepoint_h,imagej,ai
Originais (1)||None||B5||c1,1,12,0.6416,0.650740715969149
Originais (1)||None||B5||c2,2,8,0.2352,0.4451109997250792
Originais (1)||None||B5||c2,2,12,0.2843,0.5673475015894885
Originais (1)||None||D1||c2,2,8,0.2561,0.4918905462684511
Originais (1)||None||D1||c2,2,12,0.432,0.7253019077396116
P1|CT|F10,F10,48,1.0,1.0
P1|CT|F8,F8,24,1.0,0.990851495034564
P1|CT|F8,F8,48,1.0,1.0
P1|PTX|F2,F2,24,0.4384,0.5468820501991778
P1|PTX|F2,F2,48,0.7695,0.7397816334089153
P1|PTX|F9,F9,24,0.1489,0.1294847548809724
P1|PTX|F9,F9,48,0.4793,0.3755982648749262
P2|CARBO+GEO|F14,F14,48,0.4971,0.37008485951312486
P2|CARBO+GEO|F8,F8,24,0.5044,0.48913370908417947
P2|CARBO+GEO|F8,F8,48,0.5957,0.5609261789719524
P2|CARBO|F9,F9,24,0.5362,0.28889256623592346
P2|CARBO|F9,F9,48,1.0,1.0
P2|CT|F9,F9,24,0.8479,0.8675398315563744
P2|CT|F9,F9,48,1.0,1.0
P2|GEO|F11,F11,24,0.4712,0.4685436645337343
Pré-Eclâmpsia||None||B6||c1,1,12,0.7135,0.5457250268220134
Pré-Eclâmpsia||None||B6||c1,1,24,1.0,1.0
Saudável||None||B1||c1,1,12,0.2474,-0.09007697581219118
Saudável||None||B1||c1,1,24,0.8772,0.6818400394853246
Saudável||None||B1||c2,2,24,0.6237,0.2871047411712517
originais||None||A1||c1,1,8,0.4187,0.4182280984189147
originais||None||A1||c2,2,8,0.2655,0.28482593440099435
originais||None||B5||c1,1,24,0.4674,0.9506255933162588
originais||None||D1||c1,1,8,0.4376,0.44849935239573924
originais||None||D1||c1,1,12,0.5513,0.5316489527800171
originais||None||D1||c1,1,24,0.8835,0.8386014215241209
originais||None||D1||c2,2,8,0.4467,0.41681587950712984
originais||None||D1||c2,2,12,0.5702,0.5539878795551505
originais||None||D1||c2,2,24,0.7929,0.8159182510412984
originais||None||D4||c1,1,8,0.6003,0.6205084162181337
originais||None||D4||c1,1,24,0.8093,1.0
