series_key,campo,timepoint_h,referencia,ai,diferenca
P1|PTX|F2,F2,48,0.7695,0.769498,-2e-06
P1|PTX|F9,F9,24,0.1489,0.148872,-2.8e-05
P1|PTX|F9,F9,48,0.4793,0.479323,2.3e-05
P2|CARBO+GEO|F14,F14,48,0.4971,0.497057,-4.3e-05
P2|CARBO+GEO|F8,F8,24,0.5044,0.504385,-1.5e-05
P2|CARBO+GEO|F8,F8,48,0.5957,0.595669,-3.1e-05
P2|CARBO|F9,F9,24,0.5362,0.536225,2.5e-05
P2|CARBO|F9,F9,48,1.0,1.0,0.0
P2|CT|F15,F15,24,0.7131,0.713068,-3.2e-05
P2|CT|F15,F15,48,1.0,1.0,0.0
P2|CT|F9,F9,24,0.8479,0.847904,4e-06
P2|CT|F9,F9,48,1.0,1.0,0.0
P2|GEO|F11,F11,24,0.4712,0.471192,-8e-06
Pré-Eclâmpsia||None||B6||c1,1,12,0.7135,0.713538,3.8e-05
Pré-Eclâmpsia||None||B6||c1,1,24,1.0,1.0,0.0
Saudável||None||B1||c1,1,12,0.2474,0.247417,1.7e-05
Saudável||None||B1||c1,1,24,0.8772,0.877235,3.5e-05
Saudável||None||B1||c2,2,24,0.6237,0.623703,3e-06
originais||None||A1||c1,1,8,0.4187,0.418691,-9e-06
originais||None||A1||c2,2,8,0.2655,0.26554,4e-05
originais||None||B5||c1,1,24,0.4674,0.467433,3.3e-05
originais||None||D1||c1,1,8,0.4376,0.437611,1.1e-05
originais||None||D1||c1,1,12,0.5513,0.551266,-3.4e-05
originais||None||D1||c1,1,24,0.8835,0.883538,3.8e-05
originais||None||D1||c2,2,8,0.4467,0.446693,-7e-06
originais||None||D1||c2,2,12,0.5702,0.570173,-2.7e-05
originais||None||D1||c2,2,24,0.7929,0.792854,-4.6e-05
originais||None||D4||c1,1,8,0.6003,0.600276,-2.4e-05
originais||None||D4||c1,1,24,0.8093,0.809283,-1.7e-05
