series_key,campo,timepoint_h,referencia,ai,diferenca
Originais (1)||None||A1||c1,1,12,0.7203,0.701902,-0.018398
Originais (1)||None||A1||c1,1,24,1.0,1.0,0.0
Originais (1)||None||A1||c2,2,8,0.489,0.481814,-0.007186
Originais (1)||None||A1||c2,2,12,0.7077,0.702719,-0.004981
Originais (1)||None||A1||c2,2,24,1.0,1.0,0.0
Originais (1)||None||A5||c1,1,8,0.6163,0.62304,0.00674
Originais (1)||None||A5||c1,1,12,0.8311,0.834174,0.003074
Originais (1)||None||A5||c1,1,24,1.0,1.0,0.0
Originais (1)||None||A5||c2,2,8,0.5978,0.608926,0.011126
Originais (1)||None||A5||c2,2,12,0.8303,0.835709,0.005409
Originais (1)||None||A5||c2,2,24,1.0,1.0,0.0
Originais (1)||None||B5||c1,1,8,0.5039,0.519056,0.015156
Originais (1)||None||B5||c1,1,12,0.6416,0.645481,0.003881
Originais (1)||None||B5||c2,2,8,0.2352,0.273521,0.038321
Originais (1)||None||B5||c2,2,12,0.2843,0.300619,0.016319
Originais (1)||None||D1||c2,2,8,0.2561,0.311995,0.055895
Originais (1)||None||D1||c2,2,12,0.432,0.454491,0.022491
P1|CT|F10,F10,48,1.0,1.0,0.0
P1|CT|F8,F8,24,1.0,1.0,0.0
P1|CT|F8,F8,48,1.0,1.0,0.0
P1|PTX|F2,F2,24,0.4384,0.451559,0.013159
P1|PTX|F2,F2,48,0.7695,0.775268,0.005768
P1|PTX|F9,F9,24,0.1489,0.113143,-0.035757
P1|PTX|F9,F9,48,0.4793,0.479519,0.000219
P2|CARBO+GEO|F14,F14,48,0.4971,0.480566,-0.016534
P2|CARBO+GEO|F8,F8,24,0.5044,0.525201,0.020801
P2|CARBO+GEO|F8,F8,48,0.5957,0.614384,0.018684
P2|CARBO|F9,F9,24,0.5362,0.544937,0.008737
P2|CARBO|F9,F9,48,1.0,1.0,0.0
P2|CT|F15,F15,24,0.7131,0.712471,-0.000629
P2|CT|F15,F15,48,1.0,1.0,0.0
P2|CT|F9,F9,24,0.8479,0.839389,-0.008511
P2|CT|F9,F9,48,1.0,1.0,0.0
P2|GEO|F11,F11,24,0.4712,0.446119,-0.025081
Pré-Eclâmpsia||None||B6||c1,1,12,0.7135,0.717547,0.004047
Pré-Eclâmpsia||None||B6||c1,1,24,1.0,1.0,0.0
Saudável||None||B1||c1,1,12,0.2474,0.248807,0.001407
Saudável||None||B1||c1,1,24,0.8772,0.873569,-0.003631
Saudável||None||B1||c2,2,24,0.6237,0.618233,-0.005467
originais||None||A1||c1,1,8,0.4187,0.414247,-0.004453
originais||None||A1||c2,2,8,0.2655,0.275742,0.010242
originais||None||B5||c1,1,24,0.4674,0.474037,0.006637
originais||None||D1||c1,1,8,0.4376,0.415751,-0.021849
originais||None||D1||c1,1,12,0.5513,0.5433,-0.008
originais||None||D1||c1,1,24,0.8835,0.880481,-0.003019
originais||None||D1||c2,2,8,0.4467,0.423301,-0.023399
originais||None||D1||c2,2,12,0.5702,0.549234,-0.020966
originais||None||D1||c2,2,24,0.7929,0.771623,-0.021277
originais||None||D4||c1,1,8,0.6003,0.614512,0.014212
originais||None||D4||c1,1,24,0.8093,0.810483,0.001183
