arquivo,area_px,area_pct,n_instancias,orig_w,orig_h
B1 0H 2_png.rf.M9qDqnfqVRQAN3kixv3Y.png,2813,28.133944,1,640,640
B1 8H 1_png.rf.fqDTrXJGtwGnRUswH16c.png,1465,14.646854,1,640,640
B1 8H 2_png.rf.gA6SnVr547LgfEenVrRi.png,1221,12.205732,1,640,640
B1 12H 1_png.rf.VB9B0BXSFCbQoytWKIkL.png,1520,15.199411,1,640,640
B1 24H 1_png.rf.GJ99b6zJDkCcdldeprAL.png,1212,12.120833,1,640,640
B1 24H 2_png.rf.WAXPIALQ8VqzYoMup3J4.png,473,4.734398,1,640,640
D3 0H 1_png.rf.jWsUip53LaCF4OaEEFcb.png,2221,22.211557,1,640,640
D3 0H 2_png.rf.lkEcbAGS1IAwabi3cMT3.png,2423,24.231159,1,640,640
D3 8H 1_png.rf.6ah0Jg4O5oakLSomUxcX.png,2253,22.529611,1,640,640
D3 8H 2_png.rf.RmIwn01JNbgfY0VcrlAP.png,2462,24.623038,1,640,640
D3 12H 1_png.rf.vDKmMF3YJlFSbIbFZHci.png,2258,22.580402,1,640,640
D3 12H 2_png.rf.bk65RyMB9bMlU59S1RY7.png,2491,24.906347,1,640,640
D3 24H 1_png.rf.lgES3xZvT7KoszPGhV44.png,1811,18.114277,1,640,640
D3 24H 2_png.rf.vu9MuWKRyoy3WKGkVrI5.png,1789,17.894318,1,640,640
D1 0H 1_png.rf.fw3oXHFKRwGBIpMcBKY2.png,1591,15.908607,1,640,640
D1 0H 2_png.rf.In3g26PLvIPVilZ9guvK.png,1746,17.462129,1,640,640
D1 8H 1_png.rf.AmYzGCscmIMNbZlAIVL4.png,1389,13.89245,1,640,640
D1 8H 2_png.rf.1Guur0r0WOYFqgYbD8Ix.png,1524,15.235463,1,640,640
D1 12H 1_png.rf.mKsxEDejqQN6qCQxLyns.png,1327,13.266714,1,640,640
D1 12H 2_png.rf.hM6Jhc6UJKSMWKFN6Pta.png,1664,16.644941,1,640,640
D1 24H 2_png.rf.JPXsJfPNRWwnAkf2OC68.png,1025,10.248112,1,640,640
D4 0H 1_png.rf.FutNJ1bcHBCTMEvRlEBr.png,1998,19.975335,1,640,640
D4 8H 1_png.rf.xpR4xGrS7xqp2WqsHOdj.png,2255,22.553472,1,640,640
D4 12H 1_png.rf.9BeWOTfVwMn3ywdSyPmt.png,2060,20.601623,1,640,640
D4 24H 1_png.rf.l74W6BtAd1h2vbDdLYa7.png,1496,14.957065,1,640,640
A1 0HR 1_png.rf.F8WfJZAyU8hXcsKytbcA.png,1485,14.850347,1,640,640
A1 0HR 2_png.rf.hVdiwx06lI7rOZ5rr9vC.png,1645,16.453603,1,640,640
A1 8HR 1_png.rf.VABkXkmpYjE9yLo5gSBX.png,823,8.230634,1,640,640
A1 8HR 2_png.rf.bvjlWbubzYS3fVyOKsCU.png,948,9.47527,1,640,640
A1 12HR 1_png.rf.XDKS23ySU3ItzW5Kv957.png,509,5.090528,1,640,640
A1 12HR 2_png.rf.OoCbkijic6aCx52coryw.png,571,5.714381,1,640,640
A1 24HR 1_png.rf.1ApDRLrpQqSCaPcShIOu.png,0,0.0,0,640,640
A1 24HR 2_png.rf.8ZCo4suYfwAmYJVAdrgi.png,0,0.0,0,640,640
A5 0HR 1_png.rf.ckTpizxWhCzqrJmwetqV.png,1392,13.917125,1,640,640
A5 0HR 2_png.rf.C9gm2A2fkupz9aW1u7b9.png,1592,15.922447,1,640,640
A5 8HR 1_png.rf.qbCCkoclBZRwrN2mNDA9.png,589,5.893298,1,640,640
A5 8HR 2_png.rf.7U0SE5K1r1eXtmiCBL1Q.png,702,7.018328,1,640,640
A5 12HR 1_png.rf.IESDSkszuJatVJfvQ7PW.png,273,2.72838,1,640,640
A5 12HR 2_png.rf.rAr8U7x7uLNYSny2Orvg.png,311,3.106641,1,640,640
A5 24HR 1_png.rf.CpfIcPI5krfxTtJFGjKH.png,0,0.0,0,640,640
A5 24HR 2_png.rf.JBrJ8KO8uH9Jn3iTJvZf.png,0,0.0,0,640,640
B5 0HR 1_png.rf.J6hP1h51BcAFg4KFN6lN.png,1687,16.871323,1,640,640
B5 0HR 2_png.rf.MUU0CWJgRWrZIA9N0J2X.png,2243,22.42713,1,640,640
B5 8HR 1_png.rf.Ym4RLm5f7bEAlTD8XV4Q.png,915,9.154888,1,640,640
B5 8HR 2_png.rf.1bM2nfrE3C3SuMgkQzIF.png,1851,18.512388,1,640,640
B5 12HR 1_png.rf.XqoVkA4DK3JbERfwmQPP.png,705,7.05311,1,640,640
B5 12HR 2_png.rf.EZH0RYIN3t8Q75rFyebV.png,1857,18.573009,1,640,640
B5 24HR _png.rf.g9PDGT1tjMWdiPw6OCJg.png,2637,26.372909,1,640,640
D1 0HR 1_png.rf.pXGKiyw6dpCjGOogRcBS.png,1605,16.054013,1,640,640
D1 0HR 2_png.rf.Ak8bfHD2sNvAS5ARU8WU.png,1626,16.260753,1,640,640
D1 8HR 1_png.rf.Pm37sn4g0olAl9FUCP58.png,912,9.122835,1,640,640
D1 8HR 2_png.rf.We4y9DkVsrjwHtYEPH1S.png,1282,12.82053,1,640,640
D1 12HR 1_png.rf.mtvtObh31Z25eXwo4BTB.png,1207,12.068066,1,640,640
D1 12HR 2_png.rf.E03XFlEmMbe4CLEeQ5L0.png,1056,10.561341,1,640,640
D1 24HR 1_png.rf.EHcrx6DNEOw8vqgtCyC2.png,0,0.0,0,640,640
B6 0hr 1_png.rf.tP2kS9n37GFU0hMWW7mV.png,2233,22.334914,1,640,640
B6 12hr 1_png.rf.wMEDLQnrMWwVbcfKlQek.png,745,7.447051,1,640,640
B6 12hr 2_png.rf.y4b1NNhMuInMAANEGR5y.png,5967,59.671185,1,640,640
B6 24h 1_png.rf.Mqv4F4d5b4AUQiStkAzE.png,0,0.0,0,640,640
A1 0HR 1_png.rf.bBmfdS8DK3Ixtw1fZ9P3.png,1170,11.704302,1,640,640
A1 0HR 2_png.rf.wFANdrijgcCbWaNPdyi0.png,1685,16.846906,1,640,640
A1 8HR 1_png.rf.7N4eAqgpqfPKb1eNWowl.png,764,7.636067,1,640,640
A1 8HR 2_png.rf.emd32984S6mQhEIM0RXU.png,1369,13.690202,1,640,640
(baseline_recuperado),1507,15.073072,1,640,640
A5 8HR 1_png.rf.jEYUYpVLybixXNUndrI9.png,1177,11.76516,1,640,640
A5 12HR 1_png.rf.1xA3zwCvRWDQRrGvHIhA.png,1029,10.287874,1,640,640
A5 12HR 2_png.rf.mzYpTwvbQHLWffHAkMOe.png,1329,13.286387,1,640,640
A5 24HR 2_png.rf.xE7wqG2pbN9OFXjVvNjl.png,1260,12.595686,1,640,640
B5 0HR 1_png.rf.HyxAq2SZFEx1y342m6b9.png,7676,76.75642,1,640,640
B5 8HR 2_png.rf.BzRPidTOrz4nL1zIlvSL.png,2443,24.429433,1,640,640
B5 12HR 2_png.rf.mSR2WAZaiHT4hljqFuAE.png,1915,19.154501,1,640,640
B5 24HR 1_png.rf.TJTLDoAzR6YqhVVqJjBV.png,5473,54.725245,1,640,640
D1 0HR 1_png.rf.X95BBgcop2LdYBHvWj7G.png,1815,18.154455,1,640,640
D1 0HR 2_png.rf.pBkydjxMgVt0vB999uLo.png,2015,20.150494,1,640,640
D1 8HR 1_png.rf.7pXlMXWWJkv2xLuAp89c.png,1169,11.693476,1,640,640
D1 8HR 2_png.rf.zXqaP0fHqHbabD0CzjuF.png,1279,12.793259,1,640,640
D1 12HR 1_png.rf.Sa5pwYNBsukEYVE7qdCO.png,968,9.684302,1,640,640
D1 12HR 2_png.rf.c61b9Qj6PnDGEcivk5oi.png,1050,10.50009,1,640,640
D1 24HR 1_png.rf.D7yfyoxo08GRgfqWxkKs.png,290,2.90375,1,640,640
D1 24HR 2_png.rf.uoxKxnADebGlXimnPrEx.png,601,6.011487,1,640,640
D4 0HR 1_png.rf.eLqJwBy4PkAeXHhqw8Ir.png,1744,17.441612,1,640,640
D4 0HR 2_png.rf.EwNjDB9ss3gmM00iJqPT.png,1638,16.379866,1,640,640
D4 8HR 1_png.rf.VEshHRtiysfYv1YrXVR9.png,760,7.600083,1,640,640
D4 8HR 2_png.rf.1gESfR3nmJtUf5QdqE6H.png,589,5.893868,1,640,640
D4 12HR 2_png.rf.3mHz6QXfVp3bYuBorSyN.png,867,8.66861,1,640,640
D4 24HR 1_png.rf.ZeWox4g9WSQYjCRdF5Hj.png,447,4.471785,1,640,640
D4 24HR 2_png.rf.aSdWjnYDFFICPSVHPh41.png,0,0.0,0,640,640
ct2_5_png.rf.V6uuFIT0hRf8VvfkI0ft.png,3976,39.757318,1,640,640
Snap-10_146_png.rf.J1zTbpCRqsOW6DtsIPzv.png,0,0.0,0,640,640
ct2_3_png.rf.05gH6Q4BVtzjbT8GvpXk.png,3610,36.096904,1,640,640
Snap-09_200_png.rf.T1DuJr60ClWyEIrNPE9K.png,0,0.0,0,640,640
Snap-08_141_png.rf.xxwXm4vgaTgEnxfrDBvk.png,0,0.0,0,640,640
Snap-42_225_png.rf.mQxoBxfdEUUtVkhWybfs.png,2766,27.658078,1,640,640
Snap-42_165_png.rf.3eAR7nfV8aWUfPbBc82Q.png,5539,55.386499,1,640,640
Snap-31_281_png.rf.HrwVzS03qTHBX5RB7awf.png,293,2.93375,1,640,640
Snap-37_235_png.rf.fp1LasdFT1TZbfgrTie6.png,3431,34.311862,1,640,640
Snap-37_175_png.rf.FF9MN09bmlSbN40cxQRu.png,6808,68.077412,1,640,640
Snap-26_283_png.rf.YFDkIZNg1W2rRyv6xoZQ.png,181,1.810465,1,640,640
Snap-47_219_png.rf.tXiQQL4hg3VyVt8yhPHg.png,6609,66.092006,1,640,640
Snap-47_159_png.rf.iWHwHxKcpvJIH7RHtxRu.png,2716,27.16224,1,640,640
Snap-36_271_png.rf.sfFr7wfzXmMz4JWE34hv.png,3446,34.456986,1,640,640
Snap-52_213_png.rf.YrkkVK1Bonf3TxwPZWyE.png,3384,33.838282,1,640,640
Snap-41_270_png.rf.46zb8PtP1Yuu9Wit1FpP.png,1851,18.513254,1,640,640
ptx1_2_png.rf.mOSxinMIUOQxQUjpAhxb.png,2709,27.087251,1,640,640
Snap-18_182_png.rf.0olrnxTCWxDIVmtPK3HA.png,2022,20.217182,1,640,640
Snap-18_122_png.rf.rEzRHI9DOsMmEv8NXGFz.png,1044,10.437922,1,640,640
ptx2_4_png.rf.YEH27Bh4es5Hup4qomsA.png,4016,40.159143,1,640,640
Snap-25_184_png.rf.fnCmHOHxb5uRZMEeY7RB.png,4744,47.437342,1,640,640
Snap-25_124_png.rf.qhyZRieBWx1vF8Vfj4ck.png,3554,35.537953,1,640,640
(baseline_recuperado),4269,42.688469,1,640,640
Snap-20_104_png.rf.lu9wLu7mqVxquLAseXNa.png,1292,12.924111,1,640,640
Snap-21_56_png.rf.ycoY7vPUknblypXrORx3.png,698,6.975872,1,640,640
Snap-25_png.rf.NZSC2ldRJFXa4414jttF.png,3972,39.71851,1,640,640
Snap-24_96_png.rf.s6DeTIAvmh6iZiaYgj4W.png,2456,24.555517,1,640,640
Snap-25_50_png.rf.CHeux2nrD5owQB0rBnrP.png,0,0.0,0,640,640
Snap-60_png.rf.RpcRTxyR97nXnbvR3urB.png,3890,38.8957,1,640,640
Snap-60_12_png.rf.AiY33Mo4Daj2M4cZgUnh.png,3399,33.985976,1,640,640
Snap-54_png.rf.HGYLhnxL2tQsTiXRBg9n.png,3708,37.075374,1,640,640
Snap-54_106_png.rf.VOFbghvZhHsPNSqUFFkZ.png,2411,24.110525,1,640,640
Snap-54_1_png.rf.LYlBIIJ3KoqRfd7QemOX.png,2470,24.696416,1,640,640
(baseline_recuperado),3998,39.976785,1,640,640
Snap-15_60_png.rf.AUB9Da86Zc4f2GiWRpgF.png,1551,15.507169,1,640,640
Snap-15_15_png.rf.oEkUKHxOZ7qcBLxMlF5e.png,0,0.0,0,640,640
Snap-10_png.rf.yj7fOx6nAZtfK19C65wZ.png,3868,38.683252,1,640,640
Snap-09_66_png.rf.DXbLfCegxmVs4TDoenmh.png,824,8.238102,1,640,640
Snap-09_21_png.rf.eX9WeCW8GgIO8pb44zNf.png,0,0.0,0,640,640
Snap-42_png.rf.vXnbjKiFLjrY6iWZoR1j.png,2997,29.966002,1,640,640
Snap-42_76_png.rf.erwRb4d1blf6lhZ6UFWy.png,2206,22.062512,1,640,640
Snap-39_77_png.rf.FBpms3tKgC2fVOg0pxu7.png,2866,28.660658,1,640,640
