arquivo,area_px,area_pct,n_instancias,orig_w,orig_h
D4 0H 1_png.rf.hIDWQ46StqSUcKyGmBYY.png,1868,18.682,1,640,640
D4 0H 2_png.rf.7RFXNZEElcEIxiB134la.png,2298,22.983,1,640,640
D4 8H 2_png.rf.mnoVDerLhE6PpOQcbUog.png,1327,13.269,1,640,640
D4 12H 1_png.rf.rmwAgsyRm1ZzZ55GuiPB.png,256,2.559,1,640,640
D4 12H 2_png.rf.txyJ67o8LXpC3sVtUoTH.png,634,6.337,1,640,640
C5 0H 1_png.rf.qfmzlYXXLFM1UbctuHo5.png,2043,20.429,1,640,640
C5 0H 2_png.rf.UQiYCwrvqp79phsQH2z3.png,6457,64.566,1,640,640
C5 8H 1_png.rf.QRwHfTeZ3iXOWs30KZOS.png,922,9.225,1,640,640
C5 8H 2_png.rf.Su3UAyP9dztNqZtfn0u1.png,6052,60.516,1,640,640
C5 12H 1_png.rf.eqPnAQCG5aI0rvfthMNV.png,504,5.043,1,640,640
C5 12H 2_png.rf.oLP5pb7BztRNGjNEDlAS.png,6404,64.035,1,640,640
A2 0H 2_png.rf.wLkBHcGvevKm0A73Vxcz.png,3825,38.253,1,640,640
A2 8H 2_png.rf.7oLJskKDBKhwtDpwzZqy.png,1552,15.523,1,640,640
A2 12H 1_png.rf.xnmVBn7WXmT4yiy3UMlx.png,5311,53.112,1,640,640
A2 12H 2_png.rf.N7tpAQyq0PEGrhaTGLJT.png,1474,14.74,1,640,640
A2 24H 1_png.rf.EFavmtKTLhhnJThESvF0.png,7026,70.255,1,640,640
A2 24H 2_png.rf.E5xmaghZdqaoko8wlaZh.png,1155,11.548,1,640,640
B1 0H 1_png.rf.j3ckb2OmuPoN1D2ZNrsL.png,3239,32.39,1,640,640
B1 0H 2_png.rf.M9qDqnfqVRQAN3kixv3Y.png,2824,28.242,1,640,640
B1 8H 1_png.rf.fqDTrXJGtwGnRUswH16c.png,1346,13.46,1,640,640
B1 8H 2_png.rf.gA6SnVr547LgfEenVrRi.png,1118,11.184,1,640,640
B1 12H 1_png.rf.VB9B0BXSFCbQoytWKIkL.png,1318,13.178,1,640,640
B1 24H 1_png.rf.GJ99b6zJDkCcdldeprAL.png,889,8.89,1,640,640
B1 24H 2_png.rf.WAXPIALQ8VqzYoMup3J4.png,350,3.497,1,640,640
D3 0H 1_png.rf.jWsUip53LaCF4OaEEFcb.png,2191,21.909,1,640,640
D3 0H 2_png.rf.lkEcbAGS1IAwabi3cMT3.png,2444,24.44,1,640,640
D3 8H 1_png.rf.6ah0Jg4O5oakLSomUxcX.png,2011,20.112,1,640,640
D3 8H 2_png.rf.RmIwn01JNbgfY0VcrlAP.png,2178,21.778,1,640,640
D3 12H 1_png.rf.vDKmMF3YJlFSbIbFZHci.png,1934,19.337,1,640,640
D3 12H 2_png.rf.bk65RyMB9bMlU59S1RY7.png,2100,21.005,1,640,640
D3 24H 1_png.rf.lgES3xZvT7KoszPGhV44.png,1360,13.598,1,640,640
D3 24H 2_png.rf.vu9MuWKRyoy3WKGkVrI5.png,1335,13.352,1,640,640
D1 0H 1_png.rf.fw3oXHFKRwGBIpMcBKY2.png,1603,16.031,1,640,640
D1 0H 2_png.rf.In3g26PLvIPVilZ9guvK.png,1789,17.89,1,640,640
D1 8H 1_png.rf.AmYzGCscmIMNbZlAIVL4.png,1232,12.321,1,640,640
D1 8H 2_png.rf.1Guur0r0WOYFqgYbD8Ix.png,1377,13.773,1,640,640
D1 12H 1_png.rf.mKsxEDejqQN6qCQxLyns.png,1129,11.288,1,640,640
D1 12H 2_png.rf.hM6Jhc6UJKSMWKFN6Pta.png,1403,14.031,1,640,640
D1 24H 2_png.rf.JPXsJfPNRWwnAkf2OC68.png,752,7.524,1,640,640
D4 0H 1_png.rf.FutNJ1bcHBCTMEvRlEBr.png,1971,19.713,1,640,640
D4 8H 1_png.rf.xpR4xGrS7xqp2WqsHOdj.png,2024,20.237,1,640,640
D4 12H 1_png.rf.9BeWOTfVwMn3ywdSyPmt.png,1768,17.683,1,640,640
D4 24H 1_png.rf.l74W6BtAd1h2vbDdLYa7.png,1110,11.097,1,640,640
A1 0HR 1_png.rf.F8WfJZAyU8hXcsKytbcA.png,1537,15.369,1,640,640
A1 0HR 2_png.rf.hVdiwx06lI7rOZ5rr9vC.png,1694,16.944,1,640,640
A1 8HR 1_png.rf.VABkXkmpYjE9yLo5gSBX.png,757,7.571,1,640,640
A1 8HR 2_png.rf.bvjlWbubzYS3fVyOKsCU.png,866,8.658,1,640,640
A1 12HR 1_png.rf.XDKS23ySU3ItzW5Kv957.png,430,4.298,1,640,640
A1 12HR 2_png.rf.OoCbkijic6aCx52coryw.png,495,4.953,1,640,640
A1 24HR 1_png.rf.1ApDRLrpQqSCaPcShIOu.png,0,0.0,0,640,640
A1 24HR 2_png.rf.8ZCo4suYfwAmYJVAdrgi.png,0,0.0,0,640,640
A5 0HR 1_png.rf.ckTpizxWhCzqrJmwetqV.png,1402,14.017,1,640,640
A5 0HR 2_png.rf.C9gm2A2fkupz9aW1u7b9.png,1569,15.691,1,640,640
A5 8HR 1_png.rf.qbCCkoclBZRwrN2mNDA9.png,538,5.378,1,640,640
A5 8HR 2_png.rf.7U0SE5K1r1eXtmiCBL1Q.png,631,6.311,1,640,640
A5 12HR 1_png.rf.IESDSkszuJatVJfvQ7PW.png,237,2.367,1,640,640
A5 12HR 2_png.rf.rAr8U7x7uLNYSny2Orvg.png,266,2.662,1,640,640
A5 24HR 1_png.rf.CpfIcPI5krfxTtJFGjKH.png,0,0.0,0,640,640
A5 24HR 2_png.rf.JBrJ8KO8uH9Jn3iTJvZf.png,0,0.0,0,640,640
B5 0HR 1_png.rf.J6hP1h51BcAFg4KFN6lN.png,1673,16.726,1,640,640
B5 0HR 2_png.rf.MUU0CWJgRWrZIA9N0J2X.png,2232,22.321,1,640,640
B5 8HR 1_png.rf.Ym4RLm5f7bEAlTD8XV4Q.png,830,8.297,1,640,640
B5 8HR 2_png.rf.1bM2nfrE3C3SuMgkQzIF.png,1707,17.072,1,640,640
B5 12HR 1_png.rf.XqoVkA4DK3JbERfwmQPP.png,599,5.994,1,640,640
B5 12HR 2_png.rf.EZH0RYIN3t8Q75rFyebV.png,1598,15.976,1,640,640
B5 24HR _png.rf.g9PDGT1tjMWdiPw6OCJg.png,1944,19.445,1,640,640
D1 0HR 1_png.rf.pXGKiyw6dpCjGOogRcBS.png,1605,16.047,1,640,640
D1 0HR 2_png.rf.Ak8bfHD2sNvAS5ARU8WU.png,1576,15.756,1,640,640
D1 8HR 1_png.rf.Pm37sn4g0olAl9FUCP58.png,821,8.209,1,640,640
D1 8HR 2_png.rf.We4y9DkVsrjwHtYEPH1S.png,1172,11.721,1,640,640
D1 12HR 1_png.rf.mtvtObh31Z25eXwo4BTB.png,1023,10.234,1,640,640
D1 12HR 2_png.rf.E03XFlEmMbe4CLEeQ5L0.png,895,8.949,1,640,640
D1 24HR 1_png.rf.EHcrx6DNEOw8vqgtCyC2.png,0,0.0,0,640,640
B6 0hr 1_png.rf.tP2kS9n37GFU0hMWW7mV.png,2197,21.968,1,640,640
B6 12hr 1_png.rf.wMEDLQnrMWwVbcfKlQek.png,629,6.293,1,640,640
B6 12hr 2_png.rf.y4b1NNhMuInMAANEGR5y.png,4934,49.34,1,640,640
B6 24h 1_png.rf.Mqv4F4d5b4AUQiStkAzE.png,0,0.0,0,640,640
A1 0HR 1_png.rf.bBmfdS8DK3Ixtw1fZ9P3.png,1186,11.856,1,640,640
A1 0HR 2_png.rf.wFANdrijgcCbWaNPdyi0.png,1716,17.165,1,640,640
A1 8HR 1_png.rf.7N4eAqgpqfPKb1eNWowl.png,689,6.892,1,640,640
A1 8HR 2_png.rf.emd32984S6mQhEIM0RXU.png,1261,12.607,1,640,640
(baseline_recuperado),1488,14.884,1,640,640
A5 8HR 1_png.rf.jEYUYpVLybixXNUndrI9.png,1058,10.583,1,640,640
A5 12HR 1_png.rf.1xA3zwCvRWDQRrGvHIhA.png,902,9.021,1,640,640
A5 12HR 2_png.rf.mzYpTwvbQHLWffHAkMOe.png,1154,11.542,1,640,640
A5 24HR 2_png.rf.xE7wqG2pbN9OFXjVvNjl.png,927,9.272,1,640,640
B5 0HR 1_png.rf.HyxAq2SZFEx1y342m6b9.png,7549,75.491,1,640,640
B5 8HR 2_png.rf.BzRPidTOrz4nL1zIlvSL.png,2104,21.037,1,640,640
B5 12HR 2_png.rf.mSR2WAZaiHT4hljqFuAE.png,1540,15.404,1,640,640
B5 24HR 1_png.rf.TJTLDoAzR6YqhVVqJjBV.png,4020,40.204,1,640,640
D1 0HR 1_png.rf.X95BBgcop2LdYBHvWj7G.png,1852,18.521,1,640,640
D1 0HR 2_png.rf.pBkydjxMgVt0vB999uLo.png,2105,21.048,1,640,640
D1 8HR 1_png.rf.7pXlMXWWJkv2xLuAp89c.png,1042,10.416,1,640,640
D1 8HR 2_png.rf.zXqaP0fHqHbabD0CzjuF.png,1165,11.646,1,640,640
D1 12HR 1_png.rf.Sa5pwYNBsukEYVE7qdCO.png,831,8.311,1,640,640
D1 12HR 2_png.rf.c61b9Qj6PnDGEcivk5oi.png,905,9.047,1,640,640
D1 24HR 1_png.rf.D7yfyoxo08GRgfqWxkKs.png,216,2.157,1,640,640
D1 24HR 2_png.rf.uoxKxnADebGlXimnPrEx.png,436,4.36,1,640,640
D4 0HR 1_png.rf.eLqJwBy4PkAeXHhqw8Ir.png,1739,17.387,1,640,640
D4 0HR 2_png.rf.EwNjDB9ss3gmM00iJqPT.png,1643,16.432,1,640,640
D4 8HR 1_png.rf.VEshHRtiysfYv1YrXVR9.png,695,6.95,1,640,640
D4 8HR 2_png.rf.1gESfR3nmJtUf5QdqE6H.png,546,5.461,1,640,640
D4 12HR 2_png.rf.3mHz6QXfVp3bYuBorSyN.png,745,7.45,1,640,640
D4 24HR 1_png.rf.ZeWox4g9WSQYjCRdF5Hj.png,332,3.316,1,640,640
D4 24HR 2_png.rf.aSdWjnYDFFICPSVHPh41.png,0,0.0,0,640,640
ct2_5_png.rf.V6uuFIT0hRf8VvfkI0ft.png,3965,39.654,1,640,640
Snap-10_146_png.rf.J1zTbpCRqsOW6DtsIPzv.png,0,0.0,0,640,640
ct2_3_png.rf.05gH6Q4BVtzjbT8GvpXk.png,3646,36.461,1,640,640
Snap-09_200_png.rf.T1DuJr60ClWyEIrNPE9K.png,0,0.0,0,640,640
Snap-08_141_png.rf.xxwXm4vgaTgEnxfrDBvk.png,0,0.0,0,640,640
Snap-42_225_png.rf.mQxoBxfdEUUtVkhWybfs.png,2079,20.789,1,640,640
Snap-42_165_png.rf.3eAR7nfV8aWUfPbBc82Q.png,3125,31.25,1,640,640
Snap-31_281_png.rf.HrwVzS03qTHBX5RB7awf.png,146,1.455,1,640,640
Snap-37_235_png.rf.fp1LasdFT1TZbfgrTie6.png,2500,24.997,1,640,640
Snap-37_175_png.rf.FF9MN09bmlSbN40cxQRu.png,4078,40.782,1,640,640
Snap-26_283_png.rf.YFDkIZNg1W2rRyv6xoZQ.png,87,0.867,1,640,640
Snap-47_219_png.rf.tXiQQL4hg3VyVt8yhPHg.png,4858,48.583,1,640,640
Snap-47_159_png.rf.iWHwHxKcpvJIH7RHtxRu.png,1603,16.028,1,640,640
Snap-36_271_png.rf.sfFr7wfzXmMz4JWE34hv.png,1682,16.822,1,640,640
Snap-52_213_png.rf.YrkkVK1Bonf3TxwPZWyE.png,2540,25.398,1,640,640
Snap-41_270_png.rf.46zb8PtP1Yuu9Wit1FpP.png,895,8.951,1,640,640
ptx1_2_png.rf.mOSxinMIUOQxQUjpAhxb.png,2734,27.336,1,640,640
Snap-18_182_png.rf.0olrnxTCWxDIVmtPK3HA.png,1535,15.352,1,640,640
Snap-18_122_png.rf.rEzRHI9DOsMmEv8NXGFz.png,630,6.301,1,640,640
ptx2_4_png.rf.YEH27Bh4es5Hup4qomsA.png,4002,40.021,1,640,640
Snap-25_184_png.rf.fnCmHOHxb5uRZMEeY7RB.png,3406,34.063,1,640,640
Snap-25_124_png.rf.qhyZRieBWx1vF8Vfj4ck.png,2084,20.838,1,640,640
(baseline_recuperado),4279,42.79,1,640,640
Snap-20_104_png.rf.lu9wLu7mqVxquLAseXNa.png,952,9.519,1,640,640
Snap-21_56_png.rf.ycoY7vPUknblypXrORx3.png,400,3.999,1,640,640
Snap-25_png.rf.NZSC2ldRJFXa4414jttF.png,3954,39.545,1,640,640
Snap-24_96_png.rf.s6DeTIAvmh6iZiaYgj4W.png,1834,18.34,1,640,640
Snap-25_50_png.rf.CHeux2nrD5owQB0rBnrP.png,0,0.0,0,640,640
Snap-60_png.rf.RpcRTxyR97nXnbvR3urB.png,3856,38.565,1,640,640
Snap-60_12_png.rf.AiY33Mo4Daj2M4cZgUnh.png,1940,19.396,1,640,640
Snap-54_png.rf.HGYLhnxL2tQsTiXRBg9n.png,3694,36.94,1,640,640
Snap-54_106_png.rf.VOFbghvZhHsPNSqUFFkZ.png,1831,18.308,1,640,640
Snap-54_1_png.rf.LYlBIIJ3KoqRfd7QemOX.png,1494,14.936,1,640,640
(baseline_recuperado),3870,38.699,1,640,640
Snap-15_60_png.rf.AUB9Da86Zc4f2GiWRpgF.png,1110,11.104,1,640,640
Snap-15_15_png.rf.oEkUKHxOZ7qcBLxMlF5e.png,0,0.0,0,640,640
Snap-10_png.rf.yj7fOx6nAZtfK19C65wZ.png,3898,38.982,1,640,640
Snap-09_66_png.rf.DXbLfCegxmVs4TDoenmh.png,593,5.929,1,640,640
Snap-09_21_png.rf.eX9WeCW8GgIO8pb44zNf.png,0,0.0,0,640,640
Snap-42_png.rf.vXnbjKiFLjrY6iWZoR1j.png,3051,30.512,1,640,640
Snap-42_76_png.rf.erwRb4d1blf6lhZ6UFWy.png,1614,16.135,1,640,640
Snap-39_77_png.rf.FBpms3tKgC2fVOg0pxu7.png,2140,21.399,1,640,640
