file,cell,tp,part,res,n_ann,frac_pct,motivo
C6 24HR 2_png.rf.tHaJIce9FVY7cZYg4n8E.png,HUVEC,24,train,nativo,0,0.0,sem anotacao (0 poligonos)
B2 24H 1_png.rf.XBc86UvTsYYrkQT5Lmb2.png,HUVEC,24,train,nativo,0,0.0,sem anotacao (0 poligonos)
A8 24HR _png.rf.CCbBLxCj5oId78BvgGDS.png,HUVEC,24,train,nativo,0,0.0,sem anotacao (0 poligonos)
C6 24HR 1_png.rf.IFOrJw5los4Q3fxu3iMl.png,HUVEC,24,train,nativo,0,0.0,sem anotacao (0 poligonos)
B8 24h 1 _png.rf.VRJJ5SQ1mGJ3fW5YWRab.png,HUVEC,24,train,640,0,0.0,sem anotacao (0 poligonos)
C2 24HR 2_png.rf.MPADEI7GuMyp9bi3AkAx.png,HUVEC,24,train,nativo,0,0.0,sem anotacao (0 poligonos)
C1 24HR 1_png.rf.YPRq3IWss7VUaq3e3iGW.png,HUVEC,24,train,nativo,0,0.0,sem anotacao (0 poligonos)
A4 24HR _png.rf.SoP1Ps5jNnRx92pvO7dO.png,HUVEC,24,train,nativo,0,0.0,sem anotacao (0 poligonos)
B5 24h 2_png.rf.3cjezeQQgtHMSACrb0Ld.png,HUVEC,24,train,640,0,0.0,sem anotacao (0 poligonos)
C7 24HR 2_png.rf.cnX19wyaKkQGsBZZ4Sw2.png,HUVEC,24,train,nativo,0,0.0,sem anotacao (0 poligonos)
B7 24h 1_png.rf.711fbkCM378FKfxwg6z1.png,HUVEC,24,train,640,0,0.0,sem anotacao (0 poligonos)
B5 24h 1_png.rf.eRMLDgcaTXW0RnafPtxO.png,HUVEC,24,train,640,0,0.0,sem anotacao (0 poligonos)
C4 24HR 1_png.rf.eIMMU5GPoFUXukXzzpRq.png,HUVEC,24,train,nativo,0,0.0,sem anotacao (0 poligonos)
A1 24H 1_png.rf.AoYDb7eaorOVU7QenfmB.png,HUVEC,24,train,nativo,0,0.0,sem anotacao (0 poligonos)
C4 24HR 2_png.rf.dcfkjKvMtdDN2O5gEqvU.png,HUVEC,24,train,nativo,0,0.0,sem anotacao (0 poligonos)
C3 24HR 2_png.rf.nwCMqVszVo4q9siM9NBd.png,HUVEC,24,train,nativo,0,0.0,sem anotacao (0 poligonos)
B1 24H 2_png.rf.aL5f9PxXXKHrQSCq7Jm9.png,HUVEC,24,train,nativo,0,0.0,sem anotacao (0 poligonos)
C3 24H 2_png.rf.28tWjp0UrmmsCvlzDtvg.png,HUVEC,24,train,nativo,0,0.0,sem anotacao (0 poligonos)
A4 24h 1_png.rf.33dy4hIcNF63XsaZetPY.png,HUVEC,24,train,640,0,0.0,sem anotacao (0 poligonos)
B1 24 1_png.rf.4kESSl903ETfZ8RacXmq.png,HUVEC,24,train,640,0,0.0,sem anotacao (0 poligonos)
B7 24h 1_png.rf.5p9AHhSfxGprdyejHtqc.png,HUVEC,24,train,640,0,0.0,sem anotacao (0 poligonos)
B6 24HR 2_png.rf.JjCpIX0SSKPtprUC1AUV.png,HUVEC,24,train,nativo,0,0.0,sem anotacao (0 poligonos)
B1 24h 2_png.rf.DK9BzMN7LNGZvsVA1LaO.png,HUVEC,24,train,640,0,0.0,sem anotacao (0 poligonos)
E4 24H 1_png.rf.WRsQKjX6ie0vtyCCCrGq.png,HUVEC,24,train,nativo,0,0.0,sem anotacao (0 poligonos)
C4 24H 1_png.rf.PrzpHu9et1vWKc2r3zCq.png,HUVEC,24,train,nativo,0,0.0,sem anotacao (0 poligonos)
E3 24H 2_png.rf.V8dxaWov8z3KO2UEETWV.png,HUVEC,24,train,nativo,0,0.0,sem anotacao (0 poligonos)
B3 24H 1_png.rf.k1iUYr5vYuEMBpfuVe2f.png,HUVEC,24,train,nativo,0,0.0,sem anotacao (0 poligonos)
B5 24h 1_png.rf.KqK0yeM8f5TSNBY037vO.png,HUVEC,24,train,640,0,0.0,sem anotacao (0 poligonos)
B7 24hr _png.rf.wGcmDPhq7jcRwYk9p9Cf.png,HUVEC,24,train,640,0,0.0,sem anotacao (0 poligonos)
B4 24h 2_png.rf.Of8T2fD4qf0cAdWJbOuF.png,HUVEC,24,train,640,0,0.0,sem anotacao (0 poligonos)
A2 24h 1_png.rf.S59irGLLQgWFqJLa5bki.png,HUVEC,24,train,640,0,0.0,sem anotacao (0 poligonos)
B6 24HR 1_png.rf.RnlHPNjVrMgPZkF7L64E.png,HUVEC,24,train,nativo,0,0.0,sem anotacao (0 poligonos)
B8 24HR 1_png.rf.quDKVUdqcJJHaOE4wcfs.png,HUVEC,24,train,nativo,0,0.0,sem anotacao (0 poligonos)
B5 24H 1_png.rf.v4xzVz9xWcYuAyRBEFK6.png,HUVEC,24,train,nativo,0,0.0,sem anotacao (0 poligonos)
D3 24H 1_png.rf.OIhLrRxOSOtuNUqMevUJ.png,HUVEC,24,train,nativo,0,0.0,sem anotacao (0 poligonos)
C3 24H 1_png.rf.fTWEUHwuJj41k4YLPaQD.png,HUVEC,24,train,nativo,0,0.0,sem anotacao (0 poligonos)
B6 24HR _png.rf.3MFWVuTR1gXhrTMlxCtK.png,HUVEC,24,train,nativo,0,0.0,sem anotacao (0 poligonos)
D3 24HR 2_png.rf.72HLl708G6tkMaH5GLZL.png,HUVEC,24,train,nativo,0,0.0,sem anotacao (0 poligonos)
D3 24HR 1_png.rf.CIVDMQLez5VThDU7Rmkp.png,HUVEC,24,train,nativo,0,0.0,sem anotacao (0 poligonos)
E7 24H 1_png.rf.zAvr03Xcu012AlIqOaJU.png,HUVEC,24,train,nativo,0,0.0,sem anotacao (0 poligonos)
B2 24HR _png.rf.PIVpOfHUhZq8EVpEdJo0.png,HUVEC,24,train,nativo,0,0.0,sem anotacao (0 poligonos)
B8 24HR 1_png.rf.RVgJPEc6dRHa3W4h9tQR.png,HUVEC,24,train,nativo,0,0.0,sem anotacao (0 poligonos)
B3 24HR _png.rf.f3BROmuTSW4SEY5FcLrM.png,HUVEC,24,train,nativo,0,0.0,sem anotacao (0 poligonos)
D3 24H 2_png.rf.wrSFiDUm4y3l7OfQ8x8P.png,HUVEC,24,train,nativo,0,0.0,sem anotacao (0 poligonos)
C2 24HR 1_png.rf.gv1L6LnEPjTvqD1xvTex.png,HUVEC,24,train,nativo,0,0.0,sem anotacao (0 poligonos)
A7 24HR _png.rf.jH3xQl6pREcGN7kyjHCV.png,HUVEC,24,train,nativo,0,0.0,sem anotacao (0 poligonos)
C5 24HR 1_png.rf.nnj5eCDL2rrGHVaGJgIh.png,HUVEC,24,train,nativo,0,0.0,sem anotacao (0 poligonos)
C5 24HR 2_png.rf.IhgU6NfEh2mQLY5UnIxs.png,HUVEC,24,train,nativo,0,0.0,sem anotacao (0 poligonos)
C8 24HR 1_png.rf.ATUVW4TlOHoViHXbherk.png,HUVEC,24,train,nativo,0,0.0,sem anotacao (0 poligonos)
A1 24H 1_png.rf.0vIMHmjL700gltziprXx.png,HUVEC,24,train,nativo,0,0.0,sem anotacao (0 poligonos)
A6 24HR _png.rf.tdVUE5jOGejtOugdPT4V.png,HUVEC,24,train,nativo,0,0.0,sem anotacao (0 poligonos)
C7 24HR 1_png.rf.xqKNrF67OhqmAzlFnqBa.png,HUVEC,24,train,nativo,0,0.0,sem anotacao (0 poligonos)
A2 24HR 1_png.rf.zHEN1vEwcIUcwRWJIw0w.png,HUVEC,24,train,nativo,0,0.0,sem anotacao (0 poligonos)
B7 24HR _png.rf.rxcJQmf6CqfJwy73jb0T.png,HUVEC,24,train,nativo,0,0.0,sem anotacao (0 poligonos)
D3 24HR 1_png.rf.lybVWBdbvZ81Rnavz0xt.png,HUVEC,24,train,nativo,0,0.0,sem anotacao (0 poligonos)
E6 24H 2_png.rf.c0Q0aeG3uzgZqNDW0NS5.png,HUVEC,24,train,nativo,0,0.0,sem anotacao (0 poligonos)
B7 24HR 1_png.rf.ZCqTWe79sQfSyxgwns1L.png,HUVEC,24,train,nativo,0,0.0,sem anotacao (0 poligonos)
D3 24HR 2_png.rf.yFACQ0BfAkvnbEhAHECd.png,HUVEC,24,train,nativo,0,0.0,sem anotacao (0 poligonos)
E5 24H 1_png.rf.vIXfSHGOepyu5FFjdqML.png,HUVEC,24,train,nativo,0,0.0,sem anotacao (0 poligonos)
A7 24HR 2_png.rf.lcDe029TgbPSpfrW0Pay.png,HUVEC,24,train,nativo,0,0.0,sem anotacao (0 poligonos)
A4 24H 2_png.rf.6b9w5pz0deHWDEkWlDtt.png,HUVEC,24,train,nativo,0,0.0,sem anotacao (0 poligonos)
E3 24H 1_png.rf.tATYWxcxFlWEDmhIT0aP.png,HUVEC,24,train,nativo,0,0.0,sem anotacao (0 poligonos)
E6 24H 1_png.rf.SM4It4M2ifLy61R2HAsW.png,HUVEC,24,train,nativo,0,0.0,sem anotacao (0 poligonos)
B3 24H 2_png.rf.PpupAz8GxRor2jDbCqF6.png,HUVEC,24,train,nativo,0,0.0,sem anotacao (0 poligonos)
B4 24H 1_png.rf.g6mdfx5q5C5lyvQAGYxU.png,HUVEC,24,train,nativo,0,0.0,sem anotacao (0 poligonos)
B4 24H 2_png.rf.YGDDHBmTvfvwYQHk10DN.png,HUVEC,24,train,nativo,0,0.0,sem anotacao (0 poligonos)
E2 24H 2_png.rf.OkQ3OV9gV6pcZfmThdcD.png,HUVEC,24,train,nativo,0,0.0,sem anotacao (0 poligonos)
E2 24H 1_png.rf.VxLQou4jD5XrkR8hVVEa.png,HUVEC,24,train,nativo,0,0.0,sem anotacao (0 poligonos)
E8 24H 2_png.rf.gNM1Bn8YQmrvmSNIufBH.png,HUVEC,24,train,nativo,0,0.0,sem anotacao (0 poligonos)
A2 24H 2_png.rf.HMaDbJj9CQExPlCGNrI6.png,HUVEC,24,train,nativo,0,0.0,sem anotacao (0 poligonos)
B2 24H 2_png.rf.Q3DCFWxYj6laxcLJd6a0.png,HUVEC,24,train,nativo,0,0.0,sem anotacao (0 poligonos)
A4 24H 1_png.rf.gJwCrLc590rY2WH4Ned6.png,HUVEC,24,train,nativo,0,0.0,sem anotacao (0 poligonos)
D2 24HR 1_png.rf.0Jc5AqWrC0xlQHOOQxyb.png,HUVEC,24,val,nativo,0,0.0,sem anotacao (0 poligonos)
B3 24h 1_png.rf.o0oNoNvk37LqpagxxqVo.png,HUVEC,24,val,640,0,0.0,sem anotacao (0 poligonos)
B3 24H 2_png.rf.EyLWdlWUKIXMP6iPFvce.png,HUVEC,24,val,nativo,0,0.0,sem anotacao (0 poligonos)
B4 24h 1_png.rf.1X28TLOHfw99QR2YYvM9.png,HUVEC,24,val,640,0,0.0,sem anotacao (0 poligonos)
B8 24h 1_png.rf.N3qsR9ioYQUvIlolAAfM.png,HUVEC,24,val,640,0,0.0,sem anotacao (0 poligonos)
B1 24HR_png.rf.XaMxiAWNkoEWqiyieIvY.png,HUVEC,24,val,nativo,0,0.0,sem anotacao (0 poligonos)
B4 24HR 1_png.rf.lN0MXk4tlJUMy6E9zAj1.png,HUVEC,24,val,nativo,0,0.0,sem anotacao (0 poligonos)
B5 24H 2_png.rf.6Ig6Tpi1O42aZ0x8gcXo.png,HUVEC,24,val,nativo,0,0.0,sem anotacao (0 poligonos)
D2 24HR 2_png.rf.wRKSPxlZPSFXQYyfyIYZ.png,HUVEC,24,val,nativo,0,0.0,sem anotacao (0 poligonos)
D2 24HR 1_png.rf.kDCpBVsZKPoWXu9h8Ot1.png,HUVEC,24,val,nativo,0,0.0,sem anotacao (0 poligonos)
D2 24HR 2_png.rf.pDLs6S04Umdqac3qosH6.png,HUVEC,24,val,nativo,0,0.0,sem anotacao (0 poligonos)
D5 24H 1_png.rf.4M4oOwvm60w9FPoTDdeM.png,HUVEC,24,val,nativo,0,0.0,sem anotacao (0 poligonos)
A1 24HR 1_png.rf.1ApDRLrpQqSCaPcShIOu.png,HUVEC,24,test,nativo,0,0.0,sem anotacao (0 poligonos)
A1 24HR 2_png.rf.8ZCo4suYfwAmYJVAdrgi.png,HUVEC,24,test,nativo,0,0.0,sem anotacao (0 poligonos)
A5 24HR 1_png.rf.CpfIcPI5krfxTtJFGjKH.png,HUVEC,24,test,nativo,0,0.0,sem anotacao (0 poligonos)
A1 24h 1_png.rf.TlQXP6CHdUFWS07zQImN.png,HUVEC,24,test,640,0,0.0,sem anotacao (0 poligonos)
A5 24HR 2_png.rf.JBrJ8KO8uH9Jn3iTJvZf.png,HUVEC,24,test,nativo,0,0.0,sem anotacao (0 poligonos)
A1 24h 2_png.rf.o9mYSgMZsKvkMpLuHnpZ.png,HUVEC,24,test,640,0,0.0,sem anotacao (0 poligonos)
E1 24H 1_png.rf.JjdLiNmCus3kSa50aOeW.png,HUVEC,24,test,nativo,0,0.0,sem anotacao (0 poligonos)
B6 24h 1_png.rf.HqRokqEzDfBP5O3ZtezT.png,HUVEC,24,test,640,0,0.0,sem anotacao (0 poligonos)
D4 24HR 1_png.rf.ZeWox4g9WSQYjCRdF5Hj.png,HUVEC,24,test,nativo,0,0.0,sem anotacao (0 poligonos)
A3 24H 1_png.rf.tfdHOCRouEH53EDqy7G0.png,HUVEC,24,test,nativo,0,0.0,sem anotacao (0 poligonos)
B6 24h 1_png.rf.Mqv4F4d5b4AUQiStkAzE.png,HUVEC,24,test,640,0,0.0,sem anotacao (0 poligonos)
D4 24H 2_png.rf.RklTkqfkG2jxmrJIVlDw.png,HUVEC,24,test,nativo,0,0.0,sem anotacao (0 poligonos)
D1 24HR 1_png.rf.EHcrx6DNEOw8vqgtCyC2.png,HUVEC,24,test,nativo,0,0.0,sem anotacao (0 poligonos)
B5 24HR _png.rf.g9PDGT1tjMWdiPw6OCJg.png,HUVEC,24,test,nativo,0,0.0,sem anotacao (0 poligonos)
D1 24HR 2_png.rf.sKzjQXeeTmG65NxFRo5z.png,HUVEC,24,test,nativo,0,0.0,sem anotacao (0 poligonos)
D4 24H 1_png.rf.4NmTRoRHXyugKUw10i8s.png,HUVEC,24,test,nativo,0,0.0,sem anotacao (0 poligonos)
A1 24HR 1_png.rf.psHGzfQFFYu0q9OMf12P.png,HUVEC,24,test,nativo,0,0.0,sem anotacao (0 poligonos)
D4 24HR 2_png.rf.aSdWjnYDFFICPSVHPh41.png,HUVEC,24,test,nativo,0,0.0,sem anotacao (0 poligonos)
B5 24HR 1_png.rf.TJTLDoAzR6YqhVVqJjBV.png,HUVEC,24,test,nativo,0,0.0,sem anotacao (0 poligonos)
C5 24H 2_png.rf.1BqtMMJEWOuzOCOM43Zl.png,HUVEC,24,test,nativo,0,0.0,sem anotacao (0 poligonos)
B4 24H 2_png.rf.Dy3NkPc0L9HXhRCtCbkW.png,HUVEC,24,test,nativo,0,0.0,sem anotacao (0 poligonos)
C5 24H 1_png.rf.GRabFdMEvh7NdJQw7srC.png,HUVEC,24,test,nativo,0,0.0,sem anotacao (0 poligonos)
A3 24H 2_png.rf.TOtRUqMkxCrasCpSjZKO.png,HUVEC,24,test,nativo,0,0.0,sem anotacao (0 poligonos)
A3 8H 1_png.rf.FFxw1ZoJmSoMVskuVwLP.png,HUVEC,8,train,nativo,0,0.0,sem anotacao (0 poligonos)
Snap-08_67_png.rf.pJTf39K2wKaqnC1k9jIb.png,SKOV-3,24,train,nativo,0,0.0,sem anotacao (0 poligonos)
Snap-13_64_png.rf.RyKN7O5yesCpISX8jvQV.png,SKOV-3,24,train,nativo,0,0.0,sem anotacao (0 poligonos)
Snap-02_62_png.rf.K7PjQ8CqA8XVhNTW659F.png,SKOV-3,24,train,nativo,0,0.0,sem anotacao (0 poligonos)
Snap-25_95_png.rf.4nMlAyh4jT2uWFXeHFEu.png,SKOV-3,24,val,nativo,0,0.0,sem anotacao (0 poligonos)
Snap-03_195_png.rf.YYuGBJMJvk1Uc2AUOhKN.png,SKOV-3,24,val,nativo,0,0.0,sem anotacao (0 poligonos)
Snap-09_140_png.rf.MLfBljl6KhYw7N82HEXA.png,SKOV-3,48,train,nativo,0,0.0,sem anotacao (0 poligonos)
Snap-12_143_png.rf.Rm5zxWJpiG4cZ3oTCpJH.png,SKOV-3,48,train,nativo,0,0.0,sem anotacao (0 poligonos)
Snap-13_19_png.rf.b6sHGo2amM793rhoOAp1.png,SKOV-3,48,train,nativo,0,0.0,sem anotacao (0 poligonos)
Snap-13_138_png.rf.l88Miu2G7y8rOkIqtnCW.png,SKOV-3,48,train,nativo,0,0.0,sem anotacao (0 poligonos)
Snap-30_55_png.rf.6m4MweF1gXcaFnLD23yF.png,SKOV-3,48,train,nativo,0,0.0,sem anotacao (0 poligonos)
Snap-28_52_png.rf.DmC6ddQwMqlVy1m8BSG0.png,SKOV-3,48,train,nativo,0,0.0,sem anotacao (0 poligonos)
Snap-06_147_png.rf.GD6EP0bfiqbQELx2DbXk.png,SKOV-3,48,train,nativo,0,0.0,sem anotacao (0 poligonos)
Snap-03_16_png.rf.8FYQJMkw0jfVRFMq4naV.png,SKOV-3,48,train,nativo,0,0.0,sem anotacao (0 poligonos)
Snap-03_135_png.rf.86k5Vru6ipllZqtNKdG2.png,SKOV-3,48,train,nativo,0,0.0,sem anotacao (0 poligonos)
Snap-04_142_png.rf.M2wnhWd1Sd8Ifvp6QzaX.png,SKOV-3,48,train,nativo,0,0.0,sem anotacao (0 poligonos)
Snap-05_139_png.rf.niBpFx50l8Vf2AVZYkEa.png,SKOV-3,48,train,nativo,0,0.0,sem anotacao (0 poligonos)
Snap-07_144_png.rf.vfJMuF8YRLj9hUriVTPL.png,SKOV-3,48,train,nativo,0,0.0,sem anotacao (0 poligonos)
Snap-02_17_png.rf.Lpe2QyqaZsGgJFeCYcvT.png,SKOV-3,48,train,nativo,0,0.0,sem anotacao (0 poligonos)
Snap-24_51_png.rf.Wgg78LykMI1DoKAeqOy4.png,SKOV-3,48,train,nativo,0,0.0,sem anotacao (0 poligonos)
Snap-38_167_png.rf.81c3SeZTSEMy4ciG0Dyg.png,SKOV-3,48,train,nativo,0,0.0,sem anotacao (0 poligonos)
Snap-40_42_png.rf.rY6NW4fe0CRTDdg8MHYz.png,SKOV-3,48,train,nativo,0,0.0,sem anotacao (0 poligonos)
Snap-08_22_png.rf.GCWDDmkNJNGxWqA6yAIT.png,SKOV-3,48,train,nativo,0,0.0,sem anotacao (0 poligonos)
Snap-44_170_png.rf.zUBxx8E0b0UKDnm5q1Jy.png,SKOV-3,48,train,nativo,0,0.0,sem anotacao (0 poligonos)
Snap-14_137_png.rf.JGQAHR1rLHubpmhNmWKG.png,SKOV-3,48,train,nativo,0,0.0,sem anotacao (0 poligonos)
Snap-10_27_png.rf.InxxspUYRgK57BBNVAEq.png,SKOV-3,48,train,nativo,0,0.0,sem anotacao (0 poligonos)
Snap-15_134_png.rf.PT0eio2SodTEch0Oowqe.png,SKOV-3,48,val,nativo,0,0.0,sem anotacao (0 poligonos)
Snap-17_57_png.rf.eHlOfkRwkZdoOjiE6Mxj.png,SKOV-3,48,val,nativo,0,0.0,sem anotacao (0 poligonos)
Snap-02_136_png.rf.m6MHqhz3vjy6x2KcsX7N.png,SKOV-3,48,val,nativo,0,0.0,sem anotacao (0 poligonos)
Snap-09_21_png.rf.eX9WeCW8GgIO8pb44zNf.png,SKOV-3,48,test,nativo,0,0.0,sem anotacao (0 poligonos)
Snap-08_141_png.rf.xxwXm4vgaTgEnxfrDBvk.png,SKOV-3,48,test,nativo,0,0.0,sem anotacao (0 poligonos)
Snap-10_146_png.rf.J1zTbpCRqsOW6DtsIPzv.png,SKOV-3,48,test,nativo,0,0.0,sem anotacao (0 poligonos)
Snap-15_15_png.rf.oEkUKHxOZ7qcBLxMlF5e.png,SKOV-3,48,test,nativo,0,0.0,sem anotacao (0 poligonos)
Snap-25_50_png.rf.CHeux2nrD5owQB0rBnrP.png,SKOV-3,48,test,nativo,0,0.0,sem anotacao (0 poligonos)
Snap-03_254_png.rf.BtyeXVgh2zc19JcqpFCK.png,SKOV-3,72,train,nativo,0,0.0,sem anotacao (0 poligonos)
Snap-01_256_png.rf.UMEeIdDQ1Tdk0wE2TII4.png,SKOV-3,72,train,nativo,0,0.0,sem anotacao (0 poligonos)
Snap-02_255_png.rf.JaJ4bou8Ic3AaIPtCfZV.png,SKOV-3,72,val,nativo,0,0.0,sem anotacao (0 poligonos)
