sorted_basename,categoria,subtipo,cell_line,group_key,timepoint_h,campo,raw_file_original,raw_md5,whst_input_file,test_image,match_via,classe_validade,serie_padrao,serie_closure_plausivel,serie_decisao,excesso_rel,excesso_ref,na_lista_correcao,na_lista_revisao,contencao_t0,modo_falha,origem_categoria,motivo_operador,status_correcao
HUVEC__Controle_Saudavel_None_B1__tp24h__1__B1_24hr_1__3bad7fe6bb.jpg,SEG_RUIM,sub,HUVEC,Controle+Saudavel||None||B1,24,1,B1 24hr 1.tiff,3bad7fe6bb361dbcbd71dcc9ecff1601,3bad7fe6bb__HUVEC__Controle+Saudavel_None_B1__tp24h__B1_24hr_1.tiff,B1 24hr 1_png.rf.wZriPsVdQe9B1XYh0ypQ.png,nome,falha_metodo_WHST,MISTO,sim,CORRIGIR_misto,,,sim,nao,0.9412,excesso,triagem,"segmentação quase correta, faltou apenas uma parte",ok
HUVEC__Controle_Saudavel_None_B1__tp24h__2__B1_24hr_2__92633214a0.jpg,OK,,HUVEC,Controle+Saudavel||None||B1,24,2,B1 24hr 2.tiff,92633214a01e800dfa28188a7900f0d2,92633214a0__HUVEC__Controle+Saudavel_None_B1__tp24h__B1_24hr_2.tiff,B1 24hr 2_png.rf.kOhjizJROLOCgNfM1IF5.png,nome,valida_ok,CONSISTENTE_OK,sim,USAVEL_sem_correcao,,,nao,nao,0.8983,,triagem,,
HUVEC__LUIS_RAW_PEP_E1__tp00h__1__E1_0H_1__aceb4fb866.jpg,OK,,HUVEC,LUIS RAW||PEP||E1,0,1,E1 0H 1.tiff,aceb4fb86664f12755703d6dcdf17254,aceb4fb866__HUVEC__LUIS_RAW_PEP_E1__tp0h__E1_0H_1.tiff,E1 0H 1_png.rf.O4klFnPAFBZQG7ZiiWoa.png,nome,valida_ok,MISTO,sim,CORRIGIR_misto,,,nao,nao,,,triagem,,ok
HUVEC__LUIS_RAW_PEP_E1__tp00h__2__E1_0H_2__31cbdfcc41.jpg,OK,,HUVEC,LUIS RAW||PEP||E1,0,2,E1 0H 2.tiff,31cbdfcc41e9982178e362d6476c2741,31cbdfcc41__HUVEC__LUIS_RAW_PEP_E1__tp0h__E1_0H_2.tiff,E1 0H 2_png.rf.dwk6Z6HVga7ttj23PmV9.png,nome,valida_ok,MISTO,sim,CORRIGIR_misto,,,nao,nao,,,triagem,,
HUVEC__LUIS_RAW_PEP_E1__tp08h__1__E1_8H_1__d1bcf749b2.jpg,OK,,HUVEC,LUIS RAW||PEP||E1,8,1,E1 8H 1.tiff,d1bcf749b2d29f5fa22b954a4bb9b5ef,d1bcf749b2__HUVEC__LUIS_RAW_PEP_E1__tp8h__E1_8H_1.tiff,E1 8H 1_png.rf.8l6bvVJjLSjiFIlOhJkG.png,nome,valida_ok,MISTO,sim,CORRIGIR_misto,,,nao,nao,0.9535,,triagem,,ok
HUVEC__LUIS_RAW_PEP_E1__tp08h__2__E1_8H_2__609fee8a39.jpg,SEG_RUIM,sub,HUVEC,LUIS RAW||PEP||E1,8,2,E1 8H 2.tiff,609fee8a39591eb3d07f8ff391372c4e,609fee8a39__HUVEC__LUIS_RAW_PEP_E1__tp8h__E1_8H_2.tiff,E1 8H 2_png.rf.5qtx5quA0obTJbOUZCxP.png,nome,falha_metodo_WHST,MISTO,sim,CORRIGIR_misto,,,sim,nao,0.4123,deslocada,triagem,"segmentação quase correta, faltou apenas uma parte",ok
HUVEC__LUIS_RAW_PEP_E1__tp12h__1__E1_12H_1__def3a0ea0f.jpg,OK,,HUVEC,LUIS RAW||PEP||E1,12,1,E1 12H 1.tiff,def3a0ea0f6e6aff1fc707be44a6b930,def3a0ea0f__HUVEC__LUIS_RAW_PEP_E1__tp12h__E1_12H_1.tiff,E1 12H 1_png.rf.MXhOPdUnNbYD4WTRbftP.png,nome,valida_ok,MISTO,sim,CORRIGIR_misto,,,nao,nao,1.0000,,correcao_manual,imagem está ruidosa mas daria para segmentar,ok
HUVEC__LUIS_RAW_PEP_E1__tp12h__2__E1_12H_2__6aac6703c3.jpg,OK,,HUVEC,LUIS RAW||PEP||E1,12,2,E1 12H 2.tiff,6aac6703c33d1335b926d06aa30cb4c3,6aac6703c3__HUVEC__LUIS_RAW_PEP_E1__tp12h__E1_12H_2.tiff,E1 12H 2_png.rf.GKeGTBMimaglOZhGi5n6.png,nome,valida_ok,MISTO,sim,CORRIGIR_misto,,,nao,nao,0.7017,,anotacao,segmentação correta,
HUVEC__LUIS_RAW_PEP_E1__tp24h__1__E1_24H_1__9ec02dd0f0.jpg,SEG_RUIM,super,HUVEC,LUIS RAW||PEP||E1,24,1,E1 24H 1.tiff,9ec02dd0f02f3c231b66dd8e63f7940c,9ec02dd0f0__HUVEC__LUIS_RAW_PEP_E1__tp24h__E1_24H_1.tiff,E1 24H 1_png.rf.JjdLiNmCus3kSa50aOeW.png,nome,falha_metodo_WHST,MISTO,sim,CORRIGIR_misto,,sem_referencia,sim,nao,0.2891,espuria_fechada,triagem,"pouco super, talvez totalmente fechada",fechada
HUVEC__LUIS_RAW_PEP_GB_A3__tp00h__1__A3_0H_1__9487facce2.jpg,IMG_INVALIDA,,HUVEC,LUIS RAW||PEP+GB||A3,0,1,A3 0H 1.tiff,9487facce26f319746061eaa884a9b82,9487facce2__HUVEC__LUIS_RAW_PEP+GB_A3__tp0h__A3_0H_1.tiff,A3 0H 1_png.rf.4oL1M95z5XQoppHkibCl.png,nome,invalidez_imagem,MISTO+INVALIDA,sim,CORRIGIR_misto,,,nao,sim,,,triagem,imagem ruidosa e com mancha no centro,
HUVEC__LUIS_RAW_PEP_GB_A3__tp00h__2__A3_0H_2__e3071d5205.jpg,SEG_RUIM,sub,HUVEC,LUIS RAW||PEP+GB||A3,0,2,A3 0H 2.tiff,e3071d520519d8314c4522cc9e74b015,e3071d5205__HUVEC__LUIS_RAW_PEP+GB_A3__tp0h__A3_0H_2.tiff,A3 0H 2_png.rf.QDCtQGDH1pznmeHT0BNJ.png,nome,falha_metodo_WHST,MISTO,sim,CORRIGIR_misto,,,sim,nao,,nao_avaliavel,triagem,segmentação pegou apenas uma parte,ok
HUVEC__LUIS_RAW_PEP_GB_A3__tp08h__1__A3_8H_1__a174960b96.jpg,SEG_RUIM,sub,HUVEC,LUIS RAW||PEP+GB||A3,8,1,A3 8H 1.tiff,a174960b96cd27ec39d28d3bf9d3c815,a174960b96__HUVEC__LUIS_RAW_PEP+GB_A3__tp8h__A3_8H_1.tiff,A3 8H 1_png.rf.d60KhXvDmSmp3Oia8S8T.png,nome,falha_metodo_WHST,MISTO+INVALIDA,sim,CORRIGIR_misto,,,sim,nao,0.0000,deslocada,triagem,"segmentação quase correta, faltou apenas uma parte",ok
HUVEC__LUIS_RAW_PEP_GB_A3__tp08h__2__A3_8H_2_2__e6ddc74913.jpg,OK,,HUVEC,LUIS RAW||PEP+GB||A3,8,2,A3 8H 2 (2).tiff,e6ddc74913bed0298633511481ec11bd,e6ddc74913__HUVEC__LUIS_RAW_PEP+GB_A3__tp8h__A3_8H_2_2.tiff,A3 8H 2_png.rf.B5nEx5FtZ9JTiEjZrHJb.png,nome,valida_ok,MISTO,sim,CORRIGIR_misto,,,nao,nao,0.2003,,triagem,,ok
HUVEC__LUIS_RAW_PEP_GB_A3__tp12h__1__A3_12H_1__cc55a9026b.jpg,SEG_RUIM,sub,HUVEC,LUIS RAW||PEP+GB||A3,12,1,A3 12H 1.tiff,cc55a9026b83ff7914aff0c8965ad423,cc55a9026b__HUVEC__LUIS_RAW_PEP+GB_A3__tp12h__A3_12H_1.tiff,A3 12H 1_png.rf.TU0BGVsD3XJqPwGYBsiu.png,nome,falha_metodo_WHST,MISTO+INVALIDA,sim,CORRIGIR_misto,,,sim,nao,0.0000,espuria_fechada,triagem,segmentação pegou apenas uma parte,ok
HUVEC__LUIS_RAW_PEP_GB_A3__tp12h__2__A3_12H_2__f8f76efe0c.jpg,SEG_RUIM,sub,HUVEC,LUIS RAW||PEP+GB||A3,12,2,A3 12H 2.tiff,f8f76efe0c1f56d4e6f7a5e91a612076,f8f76efe0c__HUVEC__LUIS_RAW_PEP+GB_A3__tp12h__A3_12H_2.tiff,A3 12H 2_png.rf.r5xe4JQ4Ecgyw1raWv4H.png,nome,falha_metodo_WHST,MISTO,sim,CORRIGIR_misto,,,sim,nao,0.1314,espuria_fechada,triagem,"segmentação quase correta, faltou apenas uma parte",ok
HUVEC__LUIS_RAW_PEP_GB_A3__tp24h__1__A3_24H_1__ff300c2862.jpg,SEG_RUIM,super,HUVEC,LUIS RAW||PEP+GB||A3,24,1,A3 24H 1.tiff,ff300c28622a820191e9bfd05bdc4288,ff300c2862__HUVEC__LUIS_RAW_PEP+GB_A3__tp24h__A3_24H_1.tiff,A3 24H 1_png.rf.tfdHOCRouEH53EDqy7G0.png,nome,falha_metodo_WHST,MISTO+INVALIDA,sim,CORRIGIR_misto,,sem_referencia,sim,nao,0.0000,espuria_fechada,triagem,totalmente fechada,fechada
HUVEC__LUIS_RAW_PEP_GB_A3__tp24h__2__A3_24H_2_2__545022361d.jpg,SEG_RUIM,super,HUVEC,LUIS RAW||PEP+GB||A3,24,2,A3 24H 2 (2).tiff,545022361d8bb7f94a3f7d49f75e8575,545022361d__HUVEC__LUIS_RAW_PEP+GB_A3__tp24h__A3_24H_2_2.tiff,A3 24H 2_png.rf.TOtRUqMkxCrasCpSjZKO.png,nome,falha_metodo_WHST,MISTO,sim,CORRIGIR_misto,,sem_referencia,sim,nao,0.0000,espuria_fechada,triagem,totalmente fechada,fechada
HUVEC__LUIS_RAW_PEP_MCC_B4__tp00h__1__B4_0H_1__c29dd8cd83.jpg,OK,,HUVEC,LUIS RAW||PEP+MCC||B4,0,1,B4 0H 1.tiff,c29dd8cd83e98dad88386800aeec69e4,c29dd8cd83__HUVEC__LUIS_RAW_PEP+MCC_B4__tp0h__B4_0H_1.tiff,B4 0H 1_png.rf.UkNByK7H1jadGiO9HCAd.png,nome,valida_ok,MISTO,nao,CORRIGIR_misto,,,nao,nao,,,triagem,,
HUVEC__LUIS_RAW_PEP_MCC_B4__tp00h__2__B4_0H_2__30d94f864c.jpg,IMG_INVALIDA,,HUVEC,LUIS RAW||PEP+MCC||B4,0,2,B4 0H 2.tiff,30d94f864c4c8ac7cb537ebb6a5656db,30d94f864c__HUVEC__LUIS_RAW_PEP+MCC_B4__tp0h__B4_0H_2.tiff,B4 0H 2_png.rf.rXION3PvUG9p2y5KH5ZG.png,nome,invalidez_imagem,MISTO+INVALIDA,nao,CORRIGIR_misto,,,nao,sim,,,anotacao,"imagem muito ruidosa, trataria como invalida",
HUVEC__LUIS_RAW_PEP_MCC_B4__tp08h__1__B4_8H_1__e0911e22cc.jpg,SEG_RUIM,super,HUVEC,LUIS RAW||PEP+MCC||B4,8,1,B4 8H 1.tiff,e0911e22cc0c3766c7bf9a8188c19dec,e0911e22cc__HUVEC__LUIS_RAW_PEP+MCC_B4__tp8h__B4_8H_1.tiff,B4 8H 1_png.rf.OVZZyofXQpVrU06rEdEV.png,nome,falha_metodo_WHST,MISTO,nao,CORRIGIR_misto,0.092,lote_ok,sim,nao,0.1549,deslocada,triagem,pegou a ferida e fora dela tambem,ok
HUVEC__LUIS_RAW_PEP_MCC_B4__tp08h__2__B4_8H_2__9f0a5a4a06.jpg,SEG_RUIM,sub,HUVEC,LUIS RAW||PEP+MCC||B4,8,2,B4 8H 2.tiff,9f0a5a4a0603d6a0c7d98c4e471e790c,9f0a5a4a06__HUVEC__LUIS_RAW_PEP+MCC_B4__tp8h__B4_8H_2.tiff,B4 8H 2_png.rf.ShxIhASvXw8lGbZkLgUb.png,nome,falha_metodo_WHST,MISTO+INVALIDA,nao,CORRIGIR_misto,,,sim,nao,0.0000,espuria_fechada,triagem,"segmentação quase correta, faltou apenas uma parte",ok
HUVEC__LUIS_RAW_PEP_MCC_B4__tp12h__1__B4_12H_1__46211a334d.jpg,SEG_RUIM,super,HUVEC,LUIS RAW||PEP+MCC||B4,12,1,B4 12H 1.tiff,46211a334db2a3c12857a28cb1201dc9,46211a334d__HUVEC__LUIS_RAW_PEP+MCC_B4__tp12h__B4_12H_1.tiff,B4 12H 1_png.rf.1ULnxID5MP426B41agfS.png,nome,falha_metodo_WHST,MISTO,nao,CORRIGIR_misto,-0.914,lote_ok,sim,nao,0.0000,espuria_fechada,anotacao,imagem tem uma mancha lateral mas a segmentação pegou fora do risco,ok
HUVEC__LUIS_RAW_PEP_MCC_B4__tp12h__2__B4_12H_2__9984e40df9.jpg,SEG_RUIM,super,HUVEC,LUIS RAW||PEP+MCC||B4,12,2,B4 12H 2.tiff,9984e40df9cce7c65fdeb304bb5fb87a,9984e40df9__HUVEC__LUIS_RAW_PEP+MCC_B4__tp12h__B4_12H_2.tiff,B4 12H 2_png.rf.BUDIsAimJHwizKA26kde.png,nome,falha_metodo_WHST,MISTO+INVALIDA,nao,CORRIGIR_misto,0.122,lote_ok,sim,nao,0.2132,deslocada,triagem,pegou a ferida e fora dela tambem,ok
HUVEC__LUIS_RAW_PEP_MCC_B4__tp24h__1__B4_24H_1_2__e31a26b3ae.jpg,SEG_RUIM,super,HUVEC,LUIS RAW||PEP+MCC||B4,24,1,B4 24H 1 (2).tiff,e31a26b3aee2db3b61e126e4448dbb30,e31a26b3ae__HUVEC__LUIS_RAW_PEP+MCC_B4__tp24h__B4_24H_1_2.tiff,B4 24H 1_png.rf.b60wYuoI9jxCKCHE2l9q.png,nome,falha_metodo_WHST,MISTO,nao,CORRIGIR_misto,,sem_referencia,sim,nao,0.1768,deslocada,triagem,pegou a ferida e fora dela tambem,ok
HUVEC__LUIS_RAW_PEP_MCC_B4__tp24h__2__B4_24H_2_2__1daac83e9d.jpg,SEG_RUIM,super,HUVEC,LUIS RAW||PEP+MCC||B4,24,2,B4 24H 2 (2).tiff,1daac83e9d8910fc3d86dd285018dc4d,1daac83e9d__HUVEC__LUIS_RAW_PEP+MCC_B4__tp24h__B4_24H_2_2.tiff,B4 24H 2_png.rf.Dy3NkPc0L9HXhRCtCbkW.png,nome,falha_metodo_WHST,MISTO+INVALIDA,nao,CORRIGIR_misto,,sem_referencia,sim,nao,0.0124,deslocada,triagem,totalmente fechada,fechada
HUVEC__LUIS_RAW_PEP_MET3_A6__tp00h__1__A6_0H_1__9f614303f3.jpg,IMG_INVALIDA,,HUVEC,LUIS RAW||PEP+MET3||A6,0,1,A6 0H 1.tiff,9f614303f3ee8f70907c7696c24b5974,9f614303f3__HUVEC__LUIS_RAW_PEP+MET3_A6__tp0h__A6_0H_1.tiff,A6 0H 1_png.rf.rKpcg4iYJ50H0XfmG98n.png,nome,invalidez_imagem,MISTO+INVALIDA,sim,CORRIGIR_misto,,,nao,sim,,,anotacao,"imagem muito ruidosa, trataria como invalida",
HUVEC__LUIS_RAW_PEP_MET3_A6__tp00h__2__A6_0H_2__161686180c.jpg,SEG_RUIM,sub,HUVEC,LUIS RAW||PEP+MET3||A6,0,2,A6 0H 2.tiff,161686180c3e9823ea4172c62c68eece,161686180c__HUVEC__LUIS_RAW_PEP+MET3_A6__tp0h__A6_0H_2.tiff,A6 0H 2_png.rf.xTjPOuBdGBBEAQh6qzcS.png,nome,falha_metodo_WHST,MISTO,sim,CORRIGIR_misto,,,sim,nao,,nao_avaliavel,triagem,segmentação pegou apenas uma parte,ok
HUVEC__LUIS_RAW_PEP_MET3_A6__tp08h__1__A6_8H_1__a66cba3317.jpg,OK,,HUVEC,LUIS RAW||PEP+MET3||A6,8,1,A6 8H 1.tiff,a66cba331776d7861bb1a969ec4c15c8,a66cba3317__HUVEC__LUIS_RAW_PEP+MET3_A6__tp8h__A6_8H_1.tiff,A6 8H 1_png.rf.0Ed4k50VKrxz80UdTuUb.png,nome,valida_ok,MISTO+INVALIDA,sim,CORRIGIR_misto,,,nao,nao,0.7609,,triagem,,
HUVEC__LUIS_RAW_PEP_MET3_A6__tp08h__2__A6_8H_2__226a0493b4.jpg,SEG_RUIM,super,HUVEC,LUIS RAW||PEP+MET3||A6,8,2,A6 8H 2.tiff,226a0493b402e0893c68bff8aa5e2747,226a0493b4__HUVEC__LUIS_RAW_PEP+MET3_A6__tp8h__A6_8H_2.tiff,A6 8H 2_png.rf.8H5VYogwRaw3bc7Ufnp7.png,nome,falha_metodo_WHST,MISTO,sim,CORRIGIR_misto,0.238,irmao_campo,sim,nao,0.0055,deslocada,triagem,pegou a ferida e fora dela tambem,ok
HUVEC__LUIS_RAW_PEP_MET3_A6__tp12h__1__A6_12H_1__628814a792.jpg,OK,,HUVEC,LUIS RAW||PEP+MET3||A6,12,1,A6 12H 1.tiff,628814a792129c58acc0a5c5c23dd4d3,628814a792__HUVEC__LUIS_RAW_PEP+MET3_A6__tp12h__A6_12H_1.tiff,A6 12H 1_png.rf.ttiuv3CjzGc6GvMTytlM.png,nome,valida_ok,MISTO+INVALIDA,sim,CORRIGIR_misto,,,nao,nao,0.4714,,triagem,,
HUVEC__LUIS_RAW_PEP_MET3_A6__tp12h__2__A6_12H_2__2e65d49d55.jpg,OK,,HUVEC,LUIS RAW||PEP+MET3||A6,12,2,A6 12H 2.tiff,2e65d49d5510e3363e4b0b3ca1db4f3d,2e65d49d55__HUVEC__LUIS_RAW_PEP+MET3_A6__tp12h__A6_12H_2.tiff,A6 12H 2_png.rf.bsoBQRnwC6AtJ5KRBKDv.png,nome,valida_ok,MISTO,sim,CORRIGIR_misto,,,nao,nao,0.0001,,triagem,,ok
HUVEC__LUIS_RAW_PEP_MET3_A6__tp24h__1__A6_24H_1__52cbd70f1b.jpg,SEG_RUIM,sub,HUVEC,LUIS RAW||PEP+MET3||A6,24,1,A6 24H 1.tiff,52cbd70f1b4926f20b93df9628485342,52cbd70f1b__HUVEC__LUIS_RAW_PEP+MET3_A6__tp24h__A6_24H_1.tiff,A6 24H 1_png.rf.nNdt9zlpThgANxpw0Afd.png,nome,falha_metodo_WHST,MISTO+INVALIDA,sim,CORRIGIR_misto,,,sim,nao,0.8385,excesso,triagem,"segmentação quase correta, faltou apenas uma parte",ok
HUVEC__LUIS_RAW_PEP_MET3_A6__tp24h__2__A6_24H_2__d2a741e45b.jpg,SEG_RUIM,sub,HUVEC,LUIS RAW||PEP+MET3||A6,24,2,A6 24H 2.tiff,d2a741e45bde1f55c3323d345c4bab54,d2a741e45b__HUVEC__LUIS_RAW_PEP+MET3_A6__tp24h__A6_24H_2.tiff,A6 24H 2_png.rf.fnzQMmHMSJJ6YxflXcKp.png,nome,falha_metodo_WHST,MISTO,sim,CORRIGIR_misto,,,sim,nao,0.0156,espuria_fechada,triagem,"segmentação quase correta, faltou apenas uma parte",ok
HUVEC__LUIS_RAW_PET_C5__tp00h__1__C5_0H_1__ec74f8f5fa.jpg,OK,,HUVEC,LUIS RAW||PET||C5,0,1,C5 0H 1.tiff,ec74f8f5fa5175a2c7f85a5c9d3ac330,ec74f8f5fa__HUVEC__LUIS_RAW_PET_C5__tp0h__C5_0H_1.tiff,C5 0H 1_png.rf.OdwF3vyzWYOgZ8CvxU5t.png,nome,valida_ok,MISTO,sim,CORRIGIR_misto,,,nao,nao,,,triagem,,ok
HUVEC__LUIS_RAW_PET_C5__tp08h__1__C5_8H_1__05932b157b.jpg,OK,,HUVEC,LUIS RAW||PET||C5,8,1,C5 8H 1.tiff,05932b157beca5be3b90800ff35cc03e,05932b157b__HUVEC__LUIS_RAW_PET_C5__tp8h__C5_8H_1.tiff,C5 8H 1_png.rf.m0k3TjlxKvLXDFhuBq52.png,nome,valida_ok,MISTO,sim,CORRIGIR_misto,,,nao,nao,0.2815,,triagem,,ok
HUVEC__LUIS_RAW_PET_C5__tp12h__1__C5_12H_1__30813da992.jpg,SEG_RUIM,super,HUVEC,LUIS RAW||PET||C5,12,1,C5 12H 1.tiff,30813da9920c01bcf8a648b2bbd238c3,30813da992__HUVEC__LUIS_RAW_PET_C5__tp12h__C5_12H_1.tiff,C5 12H 1_png.rf.OLiywuVh8Y6xj17HnU6e.png,nome,falha_metodo_WHST,MISTO,sim,CORRIGIR_misto,-0.420,cond_ok,sim,nao,0.3179,deslocada,triagem,pegou a ferida e fora dela tambem,ok
