arquivo_b,partition,cell_line,timepoint_h,group_key,lote,res,otsu_eta,lap_var,vignette,var_map_sigma2
B3 8hr_1_png.rf.MRR11Hqlfmu6ZYq3vSSJ.png,train,HUVEC,8,Controle+Saudavel||None||B3,Controle+Saudavel,640,0.60581,41.99,0.8609,1432.71
B3 8hr_1_png.rf.txxSmsq228gvXlUcivy5.png,train,HUVEC,8,Controle+Saudavel||None||B3,Controle+Saudavel,640,0.63459,66.75,0.8407,2449.65
B3 8HR 1_png.rf.6Vj56bqRTpLweyb6RKuh.png,train,HUVEC,8,Controle+Saudavel||None||B3,Controle+Saudavel,nativo,0.71619,56.26,0.8275,4755.98
A2 12HR 2_png.rf.tXrld1QaxXbx1JWZQy7N.png,train,HUVEC,12,Controle+Saudavel||None||A2,Controle+Saudavel,nativo,0.80542,70.28,0.8028,8562.24
A2 12HR 2_png.rf.3dhTnd2ZF1zKT3cvy2au.png,train,HUVEC,12,Originais (1)||None||A2,Originais (1),nativo,0.64345,17.19,0.7855,1157.63
B5 0hr 2_png.rf.If2IuTwPnX9XldLzwVK8.png,train,HUVEC,0,Pré-Eclâmpsia||None||B5,Pré-Eclâmpsia,640,0.62028,62.78,0.7235,2126.59
B5 0HR 2_png.rf.MUU0CWJgRWrZIA9N0J2X.png,test,HUVEC,0,Originais (1)||None||B5,Originais (1),nativo,0.68162,90.52,0.7711,3574.34
B5 0hr 2_png.rf.Mbtwmh8BRXDfa2NX4XQj.png,train,HUVEC,0,Pré-Eclâmpsia||None||B5,Pré-Eclâmpsia,640,0.67578,74.18,0.7671,3451.71
B5 0HR 2_png.rf.9vT6ovCVyNe6dvR4soOv.png,train,HUVEC,0,Pré-Eclâmpsia||None||B5,Pré-Eclâmpsia,nativo,0.62627,47.06,0.8636,1117.68
A2 12hr_1_png.rf.6rEheJw5tSaKOU3wPVHa.png,train,HUVEC,12,Controle+Saudavel||None||A2,Controle+Saudavel,640,0.7463,73.7,0.8998,6394.53
A2 12hr 1_png.rf.YNt3kQagLoSoQV5wSNXl.png,train,HUVEC,12,Controle+Saudavel||None||A2,Controle+Saudavel,640,0.64429,56.81,0.7587,1940.96
A2 12HR 1_png.rf.zOnjlCgAe6Ku1WITrzJE.png,train,HUVEC,12,Originais (1)||None||A2,Originais (1),nativo,0.64824,20.47,0.7389,946.9
A2 12HR 1_png.rf.oEQlyOq4mvi3JdVRjcDN.png,train,HUVEC,12,Controle+Saudavel||None||A2,Controle+Saudavel,nativo,0.81427,84.0,0.7936,8439.83
D2 8HR 2_png.rf.C3Vh2MekC1rLcH3tPoI6.png,val,HUVEC,8,Originais (1)||None||D2,Originais (1),nativo,0.65417,26.69,0.8582,3237.93
D2 8HR 2_png.rf.YcyTJYm2GVlCsfaBYmGr.png,val,HUVEC,8,originais||None||D2,originais,nativo,0.74074,152.0,0.8201,5956.57
B4 8HR 2_png.rf.8ZXNesln0KJyFcN0jnmJ.png,val,HUVEC,8,Originais (1)||None||B4,Originais (1),nativo,0.62644,23.22,0.7948,1889.37
B4 8HR 2_png.rf.1obyWX2VOZmLG9pLiKQR.png,val,HUVEC,8,originais||None||B4,originais,nativo,0.70134,39.7,0.8414,4210.88
A4 8h 1_png.rf.wzNbwvhm0kl6bKa5E0vn.png,train,HUVEC,8,Controle+Saudavel||None||A4,Controle+Saudavel,640,0.66936,54.08,0.6233,1786.64
A4 8H 1_png.rf.xYdpZhVubRh3iT6eQ8kR.png,train,HUVEC,8,LUIS RAW||PEP+MCC||A4,LUIS RAW,nativo,0.78332,546.14,0.8969,5486.61
A2 8hr 1_png.rf.4aLjXPuqHOVMkWPtoetx.png,train,HUVEC,8,Controle+Saudavel||None||A2,Controle+Saudavel,640,0.66607,22.64,0.8964,1769.25
A2 8HR 1_png.rf.xwxfhZzqnfwRhWbm5XTm.png,train,HUVEC,8,Originais (1)||None||A2,Originais (1),nativo,0.63814,31.35,0.7917,1113.61
A2 8HR 1_png.rf.sm0Tu7r9j7BYepnmxxKe.png,train,HUVEC,8,Controle+Saudavel||None||A2,Controle+Saudavel,nativo,0.71858,68.96,0.8639,4611.47
B1 8hr 1_png.rf.xNkp4JfkmuylOQerzD1Q.png,test,HUVEC,8,Controle+Saudavel||None||B1,Controle+Saudavel,640,0.61125,26.94,0.8126,633.69
B1 8HR 1_png.rf.9FGwh76Bow1u3ZnPlz20.png,val,HUVEC,8,Originais (1)||None||B1,Originais (1),nativo,0.66047,19.58,0.7881,2190.1
B1 8hr 1_png.rf.pwZlWzk9sZA3CwldABe9.png,test,HUVEC,8,Controle+Saudavel||None||B1,Controle+Saudavel,640,0.62725,21.8,0.8728,1323.57
B1 8HR 1_png.rf.AMXvM5M5gyDuLKC5DTa9.png,test,HUVEC,8,Controle+Saudavel||None||B1,Controle+Saudavel,nativo,0.79783,86.18,0.7656,8140.06
A3 8h 2_png.rf.yUJVyfA3TgvQSnAssZvg.png,val,HUVEC,8,Controle+Saudavel||None||A3,Controle+Saudavel,640,0.64311,57.3,0.7806,1919.0
A3 8H 2_png.rf.Jd8eqN8fihgALwNrv3MY.png,train,HUVEC,8,Migração (PET e PEP) n3 - RAW||None||A3,Migração (PET e PEP) n3 - RAW,nativo,0.69534,56.51,0.7158,3127.41
A3 8H 2_png.rf.CmBhS871NJCTamYiDSzR.png,train,HUVEC,8,Migração (PET e PEP) n2 - RAW||PEP||A3,Migração (PET e PEP) n2 - RAW,nativo,0.62112,63.45,0.7462,1301.48
A3 8H 2_png.rf.B5nEx5FtZ9JTiEjZrHJb.png,test,HUVEC,8,LUIS RAW||PEP+GB||A3,LUIS RAW,nativo,0.72136,285.96,0.8015,5479.17
Snap-48_5_png.rf.cqWnY0bh8WHNUbPpOr1X.png,train,SKOV,48,P2|CARBO+GEO|F2,P2,nativo,0.77402,191.77,0.9333,7699.09
Snap-48_png.rf.gFj32XMP1AE8ivadgFZ2.png,train,SKOV,0,P2|CARBO+GEO|F2,P2,nativo,0.90731,142.43,0.7886,12282.0
Snap-48_263_png.rf.m3ZXyMmPHbQPpj19hAhv.png,train,SKOV,72,P1|GEO+PTX|F13,P1,nativo,0.82598,260.91,0.8742,8295.39
Snap-48_110_png.rf.6W4SsaL8UNRSLJ5llLr8.png,train,SKOV,24,P2|CARBO+GEO|F2,P2,nativo,0.76176,189.58,0.9158,7936.11
Snap-48_214_png.rf.W39NuOZewyYyiyIabBmm.png,train,SKOV,24,P1|GEO+PTX|F2,P1,nativo,0.82304,266.57,0.9442,9680.63
Snap-48_154_png.rf.V7qG7LsfdmdR0HUAFpGy.png,train,SKOV,48,P1|GEO+PTX|F2,P1,nativo,0.81645,246.85,0.9339,7797.98
D2 24HR 1_png.rf.0Jc5AqWrC0xlQHOOQxyb.png,val,HUVEC,24,Originais (1)||None||D2,Originais (1),nativo,0.70614,32.26,0.7521,4325.9
D2 24HR 1_png.rf.kDCpBVsZKPoWXu9h8Ot1.png,val,HUVEC,24,originais||None||D2,originais,nativo,0.79132,154.49,0.7498,5856.51
B2 8hr 1_png.rf.OXjyxpLiDUhYtlxAYXfv.png,train,HUVEC,8,Controle+Saudavel||None||B2,Controle+Saudavel,640,0.67926,35.57,0.8789,2120.81
B2 8hr 1_png.rf.vGxP5rZkLK5MWiN0XW6M.png,train,HUVEC,8,Controle+Saudavel||None||B2,Controle+Saudavel,640,0.68246,49.02,0.8426,2990.59
B2 8HR 1_png.rf.lg2ZKkivuwGiadmG9MEX.png,train,HUVEC,8,Originais (1)||None||B2,Originais (1),nativo,0.668,50.5,0.7577,2844.52
B2 8hr_1_png.rf.gJVngl5zbziuDPotvty9.png,train,HUVEC,8,Controle+Saudavel||None||B2,Controle+Saudavel,640,0.67111,108.45,0.8695,3563.68
B2 8hr 1_png.rf.wqLelQqFzkxSN8knUxYi.png,train,HUVEC,8,Controle+Saudavel||None||B2,Controle+Saudavel,640,0.59597,26.23,0.805,578.12
B2 8hr 1_png.rf.9Dk92mCSquMPc3aIhMLS.png,train,HUVEC,8,Controle+Saudavel||None||B2,Controle+Saudavel,640,0.62251,24.81,0.8653,1084.86
B2 8HR 1_png.rf.yDRw8b992nssA36AG9VH.png,train,HUVEC,8,Controle+Saudavel||None||B2,Controle+Saudavel,nativo,0.7788,83.91,0.7824,7740.07
C6 8HR 1_png.rf.LzXYa6hwLhDPIyF9Vnhm.png,train,HUVEC,8,Originais (1)||None||C6,Originais (1),nativo,0.64325,23.7,0.7405,2023.89
B1 8hr 2_png.rf.L73Y3X4Dx7HELGkPVNlg.png,test,HUVEC,8,Controle+Saudavel||None||B1,Controle+Saudavel,640,0.70894,66.82,0.8671,4484.84
B1 8HR 2_png.rf.QL7rySDMj4R5jb45K8vq.png,val,HUVEC,8,Originais (1)||None||B1,Originais (1),nativo,0.71181,50.49,0.7949,4569.62
B1 8HR 2_png.rf.QKXzmdKQE41ccuWFgbwS.png,test,HUVEC,8,Controle+Saudavel||None||B1,Controle+Saudavel,nativo,0.81418,113.25,0.8277,7759.86
Snap-58_209_png.rf.dbUw0s4aSvUw7mzdslRe.png,val,SKOV,24,P1|GEO+PTX|F12,P1,nativo,0.82946,191.85,0.95,10285.3
Snap-58_png.rf.5bdBujv1yq4UbPqw35L3.png,train,SKOV,0,P2|CARBO+GEO|F12,P2,nativo,0.92671,154.08,0.7966,12545.01
Snap-58_105_png.rf.S6dGBs8nCJirevpjONB2.png,train,SKOV,24,P2|CARBO+GEO|F12,P2,nativo,0.79094,228.13,0.9694,7557.21
Snap-58_149_png.rf.gGNFmJIkalAHR9rJANe3.png,val,SKOV,48,P1|GEO+PTX|F12,P1,nativo,0.80479,130.27,0.9355,8212.63
Snap-58_0_png.rf.LwKLpPTz09rttth9yXyJ.png,train,SKOV,48,P2|CARBO+GEO|F12,P2,nativo,0.78314,173.62,0.9288,7212.73
B3 8HR 2_png.rf.0ng2hlYGkGmIuFw7pcZV.png,train,HUVEC,8,Originais (1)||None||B3,Originais (1),nativo,0.64262,24.75,0.8125,2464.2
B3 8HR 2_png.rf.y0RoLUIBqx2jlBm8spIT.png,train,HUVEC,8,originais||None||B3,originais,nativo,0.70338,40.64,0.8325,4393.7
A1 24HR 1_png.rf.1ApDRLrpQqSCaPcShIOu.png,test,HUVEC,24,Originais (1)||None||A1,Originais (1),nativo,0.71423,68.08,0.7272,3968.08
A1 24hr 1_png.rf.LkrEN1mHJhJhYU2lmydg.png,test,HUVEC,24,Controle+Saudavel||None||A1,Controle+Saudavel,640,0.79394,144.14,0.9055,6640.33
A1 24HR 1_png.rf.psHGzfQFFYu0q9OMf12P.png,test,HUVEC,24,Controle+Saudavel||None||A1,Controle+Saudavel,nativo,0.81193,143.14,0.8535,6597.15
Snap-59_152_png.rf.epaimzc0srccqJG6nJAH.png,train,SKOV,48,P1|GEO+PTX|F13,P1,nativo,0.83053,185.29,0.8756,8618.98
Snap-59_png.rf.QAzP72FtBpszeTf2Mrk5.png,train,SKOV,0,P2|CARBO+GEO|F13,P2,nativo,0.90066,97.4,0.7998,12055.38
Snap-59_108_png.rf.pcjqa4byhXHVWqchoMza.png,train,SKOV,24,P2|CARBO+GEO|F13,P2,nativo,0.87029,160.71,0.9086,9115.68
Snap-59_3_png.rf.GOvQjtVZo8TiQHDmnSM2.png,train,SKOV,48,P2|CARBO+GEO|F13,P2,nativo,0.81451,176.13,0.9195,8884.94
Snap-59_212_png.rf.mFpPNMwFcq90Zp1o20IQ.png,train,SKOV,24,P1|GEO+PTX|F13,P1,nativo,0.8474,152.56,0.8899,10645.8
Snap-09_140_png.rf.MLfBljl6KhYw7N82HEXA.png,train,SKOV,48,P1|CT|F9,P1,nativo,0.82419,225.33,0.9195,6538.81
Snap-09_245_png.rf.Sk2QN2VbMrtgID67t9q5.png,train,SKOV,72,P1|PTX|F4,P1,nativo,0.90063,476.56,0.9706,7514.42
Snap-09_200_png.rf.T1DuJr60ClWyEIrNPE9K.png,test,SKOV,24,P1|CT|F8,P1,nativo,0.81457,199.42,0.8954,6673.05
Snap-09_21_png.rf.eX9WeCW8GgIO8pb44zNf.png,test,SKOV,48,P2|CT|F9,P2,nativo,0.75308,56.8,0.8923,4293.49
Snap-09_png.rf.8rxFGfmpj3ofgVOjtLkE.png,train,SKOV,0,P2|CT|F8,P2,nativo,0.86909,120.25,0.8301,11271.61
Snap-09_66_png.rf.DXbLfCegxmVs4TDoenmh.png,test,SKOV,24,P2|CT|F9,P2,nativo,0.73801,103.65,0.8321,5081.62
A2 24HR 2_png.rf.7v4xBMHObHaA3NuLPSjm.png,train,HUVEC,24,Originais (1)||None||A2,Originais (1),nativo,0.7807,89.29,0.8046,6896.52
A2 24HR 2_png.rf.BDWEbOGVMFPOsxkHkO6A.png,train,HUVEC,24,originais||None||A2,originais,nativo,0.79487,88.07,0.8154,7738.51
C4 8HR 1_png.rf.SWDpLEy94U9PmlA9XW2A.png,train,HUVEC,8,Originais (1)||None||C4,Originais (1),nativo,0.61465,24.01,0.7716,1587.14
Snap-52_153_png.rf.jWozliFwqBh7FtxPjDhr.png,test,SKOV,48,P1|GEO+PTX|F6,P1,nativo,0.8511,298.25,0.9252,8078.0
Snap-52_109_png.rf.uchITFihZ7aBNqGdXlak.png,train,SKOV,24,P2|CARBO+GEO|F6,P2,nativo,0.7534,231.7,0.9398,6163.7
Snap-52_213_png.rf.YrkkVK1Bonf3TxwPZWyE.png,test,SKOV,24,P1|GEO+PTX|F6,P1,nativo,0.85682,147.85,0.9392,10315.15
Snap-52_png.rf.quPTO48loQ0BH1YV5D1Z.png,train,SKOV,0,P2|CARBO+GEO|F6,P2,nativo,0.94113,150.64,0.7757,11676.54
Snap-52_4_png.rf.QgOXnOk246Qj4V3lKXiq.png,train,SKOV,48,P2|CARBO+GEO|F6,P2,nativo,0.79756,123.15,0.929,7245.43
C8 24HR 2_png.rf.89emK7tbJ4ArtvPfDi2F.png,train,HUVEC,24,Originais (1)||None||C8,Originais (1),nativo,0.82265,93.1,0.8511,5552.96
Snap-12_143_png.rf.Rm5zxWJpiG4cZ3oTCpJH.png,train,SKOV,48,P1|CT|F12,P1,nativo,0.79281,133.84,0.965,5335.79
Snap-12_69_png.rf.WicraKQ0CdhUH1IJtnIT.png,train,SKOV,24,P2|CT|F12,P2,nativo,0.64493,72.74,0.8819,3305.01
Snap-12_24_png.rf.Ru6LnkVq8ptg2oaXuud7.png,train,SKOV,48,P2|CT|F12,P2,nativo,0.73159,82.44,0.9472,4208.74
Snap-12_247_png.rf.bejYN9qav9OwHOvHDtwA.png,train,SKOV,72,P1|PTX|F7,P1,nativo,0.86981,728.77,0.9189,3355.91
Snap-12_203_png.rf.JEql0PcElKuzYrOsXGDk.png,train,SKOV,24,P1|CT|F11,P1,nativo,0.7899,73.94,0.9506,6990.3
Snap-12_png.rf.JaRx2jnw5N6x11Hp0geO.png,train,SKOV,0,P2|CT|F11,P2,nativo,0.86678,85.1,0.8025,10511.38
A3 24HR _png.rf.5mOrWeoDdCbiHpmsULlx.png,train,HUVEC,24,Originais (1)||None||A3,Originais (1),nativo,0.75868,110.69,0.8283,5873.48
A4 12hr 1_png.rf.XWAGCiM6UOAh8GvapFEg.png,train,HUVEC,12,Controle+Saudavel||None||A4,Controle+Saudavel,640,0.62415,61.74,0.8638,1597.86
A4 12HR 1_png.rf.dBXjee0yNJkn5uvIsedn.png,train,HUVEC,12,Originais (1)||None||A4,Originais (1),nativo,0.6322,18.41,0.7178,520.0
A4 12HR 1_png.rf.QTYICw9XjNE9ky97j1dh.png,train,HUVEC,12,Controle+Saudavel||None||A4,Controle+Saudavel,nativo,0.79431,100.12,0.6858,7947.71
B8 8H 1_png.rf.aR8jpRAFVNgRDwOjlUoR.png,val,HUVEC,8,LUIS RAW||PEP+MCC||B8,LUIS RAW,nativo,0.77452,317.72,0.783,5247.36
B8 0H 1_png.rf.VRh7efysiNi7AJTUXkt0.png,val,HUVEC,0,LUIS RAW||PEP+MCC||B8,LUIS RAW,nativo,0.69518,244.14,0.788,2129.35
C7 8HR 2_png.rf.2dvwHn7EvY990K3vz72Z.png,train,HUVEC,8,Originais (1)||None||C7,Originais (1),nativo,0.66794,74.35,0.8589,4256.1
C7 8hr 2_png.rf.V0K6p7rMxYZjaTtmW246.png,train,HUVEC,8,Pré-Eclâmpsia||None||C7,Pré-Eclâmpsia,640,0.56556,25.64,0.7324,842.69
D3 0HR 2_png.rf.xg8UuwFd0AAbsMueldhL.png,train,HUVEC,0,Originais (1)||None||D3,Originais (1),nativo,0.76594,201.01,0.7859,7335.11
D3 0HR 2_png.rf.j8JuVxL68QInkMt5FJpM.png,train,HUVEC,0,originais||None||D3,originais,nativo,0.68217,146.16,0.8593,4335.04
Snap-08_246_png.rf.RqnG5jTrBo52eftjs5DV.png,train,SKOV,72,P1|PTX|F3,P1,nativo,0.89758,409.92,0.9192,10509.64
Snap-08_201_png.rf.chUbIWmSPfojmz0KJLAC.png,train,SKOV,24,P1|CT|F7,P1,nativo,0.78878,76.63,0.9059,6155.98
Snap-08_67_png.rf.pJTf39K2wKaqnC1k9jIb.png,train,SKOV,24,P2|CT|F8,P2,nativo,0.77699,101.83,0.8806,5127.03
Snap-08_141_png.rf.xxwXm4vgaTgEnxfrDBvk.png,test,SKOV,48,P1|CT|F8,P1,nativo,0.78705,114.7,0.9342,5350.69
Snap-08_png.rf.nMSmGWytV5eO27dMe1ee.png,train,SKOV,0,P2|CT|F7,P2,nativo,0.81193,133.84,0.9006,9528.37
Snap-08_22_png.rf.GCWDDmkNJNGxWqA6yAIT.png,train,SKOV,48,P2|CT|F8,P2,nativo,0.80096,65.39,0.9218,5512.94
C8 8hr 1_png.rf.9Nm17LTxJEYER3hsq1MI.png,train,HUVEC,8,Pré-Eclâmpsia||None||C8,Pré-Eclâmpsia,640,0.64378,51.78,0.8863,1667.3
C8 8HR 1_png.rf.D6drV1sVRsS2i9BLf4Zq.png,train,HUVEC,8,Originais (1)||None||C8,Originais (1),nativo,0.74759,69.59,0.7247,7063.11
Snap-55_png.rf.mdqwr9JeLjcb6ofmfYgj.png,train,SKOV,0,P2|CARBO+GEO|F9,P2,nativo,0.94853,213.42,0.796,12729.07
Snap-55_151_png.rf.HB3SBxZfAuHyuw16MFoY.png,train,SKOV,48,P1|GEO+PTX|F9,P1,nativo,0.7817,154.3,0.9667,7311.87
Snap-55_2_png.rf.yBgBsBStUWm9nrHoWzT9.png,train,SKOV,48,P2|CARBO+GEO|F9,P2,nativo,0.77003,220.25,0.9572,5708.11
Snap-55_211_png.rf.EPNfhr87AJkv5f9UxEy5.png,train,SKOV,24,P1|GEO+PTX|F9,P1,nativo,0.85223,181.71,0.9616,10572.81
Snap-55_107_png.rf.sR9Ln7DKRgZ1U7IHe31n.png,train,SKOV,24,P2|CARBO+GEO|F9,P2,nativo,0.78012,285.42,0.9055,5744.82
C2 8hr 2_png.rf.rQVAAegUPaNnrnxfZwFG.png,train,HUVEC,8,Pré-Eclâmpsia||None||C2,Pré-Eclâmpsia,640,0.58881,39.77,0.892,663.53
C2 8HR 2_png.rf.FAjaOYFoSVkGWqoTepQb.png,train,HUVEC,8,Originais (1)||None||C2,Originais (1),nativo,0.63647,28.78,0.8634,2579.86
Snap-50_217_png.rf.rf55ujFurc07N7cDRLSR.png,train,SKOV,24,P1|GEO+PTX|F4,P1,nativo,0.86989,120.64,0.9986,11579.98
Snap-50_8_png.rf.GllVB6GPGv2m6wnXP8At.png,train,SKOV,48,P2|CARBO+GEO|F4,P2,nativo,0.7988,183.4,0.9512,6671.61
Snap-50_113_png.rf.tvrHilkt9qEzTsmrzhEz.png,train,SKOV,24,P2|CARBO+GEO|F4,P2,nativo,0.76802,291.46,0.9392,7537.08
Snap-50_157_png.rf.O8bQtgrO9JA4I4wWYrex.png,train,SKOV,48,P1|GEO+PTX|F4,P1,nativo,0.81599,235.16,1.0117,8643.09
Snap-50_png.rf.HA7jd2gx3sJmNEaL5hJZ.png,train,SKOV,0,P2|CARBO+GEO|F4,P2,nativo,0.95793,256.92,0.7865,13739.07
B8 12hr 1_png.rf.shTHCf0lYwAgMJRKyceK.png,train,HUVEC,12,Pré-Eclâmpsia||None||B8,Pré-Eclâmpsia,640,0.64144,48.91,0.7818,2860.0
B8 12hr 1_png.rf.iih8Y7cF2NixGIHCxYM5.png,train,HUVEC,12,Pré-Eclâmpsia||None||B8,Pré-Eclâmpsia,640,0.57094,19.08,0.7809,416.45
B8 12HR 1_png.rf.nI0MDsT82HP4ly7A64T9.png,train,HUVEC,12,Pré-Eclâmpsia||None||B8,Pré-Eclâmpsia,nativo,0.7688,69.59,0.7988,6948.23
B8 12HR 1_png.rf.nFJGtYupFefeBl1Usry3.png,train,HUVEC,12,Originais (1)||None||B8,Originais (1),nativo,0.60848,25.57,0.7079,971.93
C1 24HR 2_png.rf.9exsonf957zV0aCSSZs8.png,train,HUVEC,24,Originais (1)||None||C1,Originais (1),nativo,0.7322,44.69,0.8343,5719.3
C3 24HR 1_png.rf.pZgJEEa8LXWK8obYVuEZ.png,train,HUVEC,24,Originais (1)||None||C3,Originais (1),nativo,0.71454,43.35,0.7247,4359.75
B7 12HR 1_png.rf.tQR8sr43YTBxjNYm3tqF.png,train,HUVEC,12,Originais (1)||None||B7,Originais (1),nativo,0.63643,24.04,0.7529,1139.46
B7 12hr 1_png.rf.hlhcADdzO6iuhfQES5Fp.png,train,HUVEC,12,Controle+Saudavel||None||B7,Controle+Saudavel,640,0.59717,19.91,0.8226,344.22
B7 12HR 1_png.rf.ctLu7rRENpG6jwIQGRSW.png,train,HUVEC,12,Controle+Saudavel||None||B7,Controle+Saudavel,nativo,0.78067,79.29,0.8151,7234.59
B8 12HR 2_png.rf.CgwPldETMq6VOYEZmUsY.png,train,HUVEC,12,Originais (1)||None||B8,Originais (1),nativo,0.61843,24.37,0.8105,1277.59
B8 12hr 2_png.rf.hBBqPLy4yOa4aCEa6DvE.png,val,HUVEC,12,Controle+Saudavel||None||B8,Controle+Saudavel,640,0.60875,21.06,0.9275,594.65
B8 12HR 2_png.rf.9iYVx629UA8lYga7s72P.png,val,HUVEC,12,Controle+Saudavel||None||B8,Controle+Saudavel,nativo,0.78701,79.87,0.8836,7791.93
A1 24HR 2_png.rf.8ZCo4suYfwAmYJVAdrgi.png,test,HUVEC,24,Originais (1)||None||A1,Originais (1),nativo,0.7682,100.36,0.771,6255.72
A1 24HR 2_png.rf.QvfIHR0lQkYJbWTuhsBX.png,test,HUVEC,24,originais||None||A1,originais,nativo,0.80228,91.39,0.7567,7243.51
C7 8HR 1_png.rf.BLjG0NJpvYU22o7jYGgz.png,train,HUVEC,8,Originais (1)||None||C7,Originais (1),nativo,0.67927,64.68,0.7266,3681.68
C7 8hr 1_png.rf.G3Sj8OMnkq6nHC5SOjbi.png,train,HUVEC,8,Pré-Eclâmpsia||None||C7,Pré-Eclâmpsia,640,0.64685,28.7,0.8275,1207.37
A5 0HR 2_png.rf.C9gm2A2fkupz9aW1u7b9.png,test,HUVEC,0,Originais (1)||None||A5,Originais (1),nativo,0.73005,205.65,0.8574,5847.76
A5 0hr 2_png.rf.VU7ZStUnMIZCuBrc6l0k.png,train,HUVEC,0,Pré-Eclâmpsia||None||A5,Pré-Eclâmpsia,640,0.69735,58.05,0.9625,3658.96
A5 0HR 2_png.rf.Y8g6msImi3FtQjKV3Wp9.png,train,HUVEC,0,Pré-Eclâmpsia||None||A5,Pré-Eclâmpsia,nativo,0.67081,99.7,0.8652,2104.38
A5 0hr_2_png.rf.JluxUjNY7fGnBncqTfdq.png,train,HUVEC,0,Pré-Eclâmpsia||None||A5,Pré-Eclâmpsia,640,0.67704,29.81,0.8441,3105.83
C5 0HR 1_png.rf.Eq08r4rsYSmeLWqDM8ss.png,train,HUVEC,0,Originais (1)||None||C5,Originais (1),nativo,0.74578,269.48,0.8338,7719.33
B1 12hr 1_png.rf.Basp8dmX2exqZZBqydBx.png,test,HUVEC,12,Controle+Saudavel||None||B1,Controle+Saudavel,640,0.60308,18.57,0.8547,872.68
B1 12hr 1_png.rf.sRUPpw6VBKsEL7UWcuqg.png,test,HUVEC,12,Controle+Saudavel||None||B1,Controle+Saudavel,640,0.58548,18.65,0.7867,261.19
B1 12hr_1_png.rf.dB4OztvLmzVa4BGq5jCN.png,test,HUVEC,12,Controle+Saudavel||None||B1,Controle+Saudavel,640,0.58289,19.15,0.8077,426.2
B1 12hr 1_png.rf.MkOpH7SVtG5q4EYuFmK2.png,test,HUVEC,12,Controle+Saudavel||None||B1,Controle+Saudavel,640,0.64062,30.72,0.9004,2105.77
