arquivo_b,stem_normalizado,linha_celular,timepoint_h,arquivo_a,pasta_a,group_key,lote,well,tratamento,estrato,excluida,resolucao,split_key,partition
B1 8HR 2_png.rf.QKXzmdKQE41ccuWFgbwS.png,b1 8hr 2,HUVEC,8,B1 8hr 2.tiff,HUVEC/8h,Controle+Saudavel||None||B1,Controle+Saudavel,B1,None,HUVEC|None,,ok_hash,Controle+Saudavel||None||B1,test
Snap-58_209_png.rf.dbUw0s4aSvUw7mzdslRe.png,snap-58,SKOV,24,Snap-58 (2).tiff,SKOV/24h,P1|GEO+PTX|F12,P1,F12,GEO+PTX,P1|GEO+PTX,,ok_hash,P1|GEO+PTX|F12,test
Snap-58_png.rf.5bdBujv1yq4UbPqw35L3.png,snap-58,SKOV,0,Snap-58.tiff,SKOV/0h,P2|CARBO+GEO|F12,P2,F12,CARBO+GEO,P2|CARBO+GEO,,ok_hash,P2|CARBO+GEO|F12,train
Snap-58_105_png.rf.S6dGBs8nCJirevpjONB2.png,snap-58,SKOV,24,Snap-58.tiff,SKOV/24h,P2|CARBO+GEO|F12,P2,F12,CARBO+GEO,P2|CARBO+GEO,,ok_hash,P2|CARBO+GEO|F12,train
Snap-58_149_png.rf.gGNFmJIkalAHR9rJANe3.png,snap-58,SKOV,48,Snap-58 (2).tiff,SKOV/48h,P1|GEO+PTX|F12,P1,F12,GEO+PTX,P1|GEO+PTX,,ok_hash,P1|GEO+PTX|F12,test
Snap-58_0_png.rf.LwKLpPTz09rttth9yXyJ.png,snap-58,SKOV,48,Snap-58.tiff,SKOV/48h,P2|CARBO+GEO|F12,P2,F12,CARBO+GEO,P2|CARBO+GEO,,ok_hash,P2|CARBO+GEO|F12,train
B3 8HR 2_png.rf.0ng2hlYGkGmIuFw7pcZV.png,b3 8hr 2,HUVEC,8,B3 8HR 2 (2).tiff,HUVEC/8h,Originais (1)||None||B3,Originais (1),B3,None,HUVEC|None,,ok_hash,SHARED__B3,train
B3 8HR 2_png.rf.y0RoLUIBqx2jlBm8spIT.png,b3 8hr 2,HUVEC,8,B3 8HR 2.tiff,HUVEC/8h,originais||None||B3,originais,B3,None,HUVEC|None,,ok_hash,SHARED__B3,train
A1 24HR 1_png.rf.1ApDRLrpQqSCaPcShIOu.png,a1 24hr 1,HUVEC,24,A1 24HR 1 (2).tiff,HUVEC/24h,Originais (1)||None||A1,Originais (1),A1,None,HUVEC|None,,ok_hash,SHARED__A1,test
A1 24hr 1_png.rf.LkrEN1mHJhJhYU2lmydg.png,a1 24hr 1,HUVEC,24,A1 24hr 1.tiff,HUVEC/24h,Controle+Saudavel||None||A1,Controle+Saudavel,A1,None,HUVEC|None,,ok_hash,Controle+Saudavel||None||A1,val
A1 24HR 1_png.rf.psHGzfQFFYu0q9OMf12P.png,a1 24hr 1,HUVEC,24,,,Controle+Saudavel||None||A1,Controle+Saudavel,A1,None,HUVEC|None,,ok_nome_norm,Controle+Saudavel||None||A1,val
Snap-59_152_png.rf.epaimzc0srccqJG6nJAH.png,snap-59,SKOV,48,Snap-59 (2).tiff,SKOV/48h,P1|GEO+PTX|F13,P1,F13,GEO+PTX,P1|GEO+PTX,,ok_hash,P1|GEO+PTX|F13,train
Snap-59_png.rf.QAzP72FtBpszeTf2Mrk5.png,snap-59,SKOV,0,Snap-59.tiff,SKOV/0h,P2|CARBO+GEO|F13,P2,F13,CARBO+GEO,P2|CARBO+GEO,,ok_hash,P2|CARBO+GEO|F13,train
Snap-59_108_png.rf.pcjqa4byhXHVWqchoMza.png,snap-59,SKOV,24,Snap-59.tiff,SKOV/24h,P2|CARBO+GEO|F13,P2,F13,CARBO+GEO,P2|CARBO+GEO,,ok_hash,P2|CARBO+GEO|F13,train
Snap-59_3_png.rf.GOvQjtVZo8TiQHDmnSM2.png,snap-59,SKOV,48,Snap-59.tiff,SKOV/48h,P2|CARBO+GEO|F13,P2,F13,CARBO+GEO,P2|CARBO+GEO,,ok_hash,P2|CARBO+GEO|F13,train
Snap-59_212_png.rf.mFpPNMwFcq90Zp1o20IQ.png,snap-59,SKOV,24,Snap-59 (2).tiff,SKOV/24h,P1|GEO+PTX|F13,P1,F13,GEO+PTX,P1|GEO+PTX,,ok_hash,P1|GEO+PTX|F13,train
Snap-09_140_png.rf.MLfBljl6KhYw7N82HEXA.png,snap-9,SKOV,48,Snap-09 (2).tiff,SKOV/48h,P1|CT|F9,P1,F9,CT,P1|CT,,ok_hash,P1|CT|F9,train
Snap-09_245_png.rf.Sk2QN2VbMrtgID67t9q5.png,snap-9,SKOV,72,Snap-09.tiff,SKOV/72h,P1|PTX|F4,P1,F4,PTX,P1|PTX,,ok_hash,P1|PTX|F4,train
Snap-09_200_png.rf.T1DuJr60ClWyEIrNPE9K.png,snap-9,SKOV,24,Snap-09 (2).tiff,SKOV/24h,P1|CT|F8,P1,F8,CT,P1|CT,,ok_hash,P1|CT|F8,train
Snap-09_21_png.rf.eX9WeCW8GgIO8pb44zNf.png,snap-9,SKOV,48,Snap-09.tiff,SKOV/48h,P2|CT|F9,P2,F9,CT,P2|CT,,ok_hash,P2|CT|F9,train
Snap-09_png.rf.8rxFGfmpj3ofgVOjtLkE.png,snap-9,SKOV,0,Snap-09.tiff,SKOV/0h,P2|CT|F8,P2,F8,CT,P2|CT,,ok_hash,P2|CT|F8,train
Snap-09_66_png.rf.DXbLfCegxmVs4TDoenmh.png,snap-9,SKOV,24,Snap-09.tiff,SKOV/24h,P2|CT|F9,P2,F9,CT,P2|CT,,ok_hash,P2|CT|F9,train
A2 24HR 2_png.rf.7v4xBMHObHaA3NuLPSjm.png,a2 24hr 2,HUVEC,24,A2 24HR 2 (2).tiff,HUVEC/24h,Originais (1)||None||A2,Originais (1),A2,None,HUVEC|None,,ok_hash,SHARED__A2,val
A2 24HR 2_png.rf.BDWEbOGVMFPOsxkHkO6A.png,a2 24hr 2,HUVEC,24,A2 24HR 2.tiff,HUVEC/24h,originais||None||A2,originais,A2,None,HUVEC|None,,ok_hash,SHARED__A2,val
C4 8HR 1_png.rf.SWDpLEy94U9PmlA9XW2A.png,c4 8hr 1,HUVEC,8,C4 8HR 1.tiff,HUVEC/8h,Originais (1)||None||C4,Originais (1),C4,None,HUVEC|None,,ok_hash,Originais (1)||None||C4,train
Snap-52_153_png.rf.jWozliFwqBh7FtxPjDhr.png,snap-52,SKOV,48,Snap-52 (2).tiff,SKOV/48h,P1|GEO+PTX|F6,P1,F6,GEO+PTX,P1|GEO+PTX,,ok_hash,P1|GEO+PTX|F6,test
Snap-52_109_png.rf.uchITFihZ7aBNqGdXlak.png,snap-52,SKOV,24,Snap-52.tiff,SKOV/24h,P2|CARBO+GEO|F6,P2,F6,CARBO+GEO,P2|CARBO+GEO,,ok_hash,P2|CARBO+GEO|F6,test
Snap-52_213_png.rf.YrkkVK1Bonf3TxwPZWyE.png,snap-52,SKOV,24,Snap-52 (2).tiff,SKOV/24h,P1|GEO+PTX|F6,P1,F6,GEO+PTX,P1|GEO+PTX,,ok_hash,P1|GEO+PTX|F6,test
Snap-52_png.rf.quPTO48loQ0BH1YV5D1Z.png,snap-52,SKOV,0,Snap-52.tiff,SKOV/0h,P2|CARBO+GEO|F6,P2,F6,CARBO+GEO,P2|CARBO+GEO,,ok_hash,P2|CARBO+GEO|F6,test
Snap-52_4_png.rf.QgOXnOk246Qj4V3lKXiq.png,snap-52,SKOV,48,Snap-52.tiff,SKOV/48h,P2|CARBO+GEO|F6,P2,F6,CARBO+GEO,P2|CARBO+GEO,,ok_hash,P2|CARBO+GEO|F6,test
C8 24HR 2_png.rf.89emK7tbJ4ArtvPfDi2F.png,c8 24hr 2,HUVEC,24,C8 24HR 2.tiff,HUVEC/24h,Originais (1)||None||C8,Originais (1),C8,None,HUVEC|None,,ok_hash,Originais (1)||None||C8,train
Snap-12_143_png.rf.Rm5zxWJpiG4cZ3oTCpJH.png,snap-12,SKOV,48,Snap-12 (2).tiff,SKOV/48h,P1|CT|F12,P1,F12,CT,P1|CT,,ok_hash,P1|CT|F12,train
Snap-12_69_png.rf.WicraKQ0CdhUH1IJtnIT.png,snap-12,SKOV,24,Snap-12.tiff,SKOV/24h,P2|CT|F12,P2,F12,CT,P2|CT,,ok_hash,P2|CT|F12,train
Snap-12_24_png.rf.Ru6LnkVq8ptg2oaXuud7.png,snap-12,SKOV,48,Snap-12.tiff,SKOV/48h,P2|CT|F12,P2,F12,CT,P2|CT,,ok_hash,P2|CT|F12,train
Snap-12_247_png.rf.bejYN9qav9OwHOvHDtwA.png,snap-12,SKOV,72,Snap-12.tiff,SKOV/72h,P1|PTX|F7,P1,F7,PTX,P1|PTX,,ok_hash,P1|PTX|F7,train
Snap-12_203_png.rf.JEql0PcElKuzYrOsXGDk.png,snap-12,SKOV,24,Snap-12 (2).tiff,SKOV/24h,P1|CT|F11,P1,F11,CT,P1|CT,,ok_hash,P1|CT|F11,train
Snap-12_png.rf.JaRx2jnw5N6x11Hp0geO.png,snap-12,SKOV,0,Snap-12.tiff,SKOV/0h,P2|CT|F11,P2,F11,CT,P2|CT,,ok_hash,P2|CT|F11,test
A3 24HR _png.rf.5mOrWeoDdCbiHpmsULlx.png,a3 24hr,HUVEC,24,A3 24HR .tiff,HUVEC/24h,Originais (1)||None||A3,Originais (1),A3,None,HUVEC|None,,ok_hash,SHARED__A3,train
A4 12hr 1_png.rf.XWAGCiM6UOAh8GvapFEg.png,a4 12hr 1,HUVEC,12,A4 12hr 1.tiff,HUVEC/12h,Controle+Saudavel||None||A4,Controle+Saudavel,A4,None,HUVEC|None,,ok_hash,Controle+Saudavel||None||A4,train
A4 12HR 1_png.rf.dBXjee0yNJkn5uvIsedn.png,a4 12hr 1,HUVEC,12,A4 12HR 1 (2).tiff,HUVEC/12h,Originais (1)||None||A4,Originais (1),A4,None,HUVEC|None,,ok_hash,SHARED__A4,train
