file,cell,tp,part,res,n_ann,frac
B1 8HR 2_png.rf.QKXzmdKQE41ccuWFgbwS.png,HUVEC,8,test,nativo,1,9.641
A5 12HR 2_png.rf.mzYpTwvbQHLWffHAkMOe.png,HUVEC,12,test,nativo,1,9.643
D1 8HR 1_png.rf.7pXlMXWWJkv2xLuAp89c.png,HUVEC,8,test,nativo,1,9.789
A2 24H 1_png.rf.EFavmtKTLhhnJThESvF0.png,HUVEC,24,test,nativo,1,10.01
E1 8H 2_png.rf.5qtx5quA0obTJbOUZCxP.png,HUVEC,8,test,nativo,1,10.17
A5 8HR 1_png.rf.jEYUYpVLybixXNUndrI9.png,HUVEC,8,test,nativo,1,10.399
E1 8H 1_png.rf.8l6bvVJjLSjiFIlOhJkG.png,HUVEC,8,test,nativo,1,10.413
B5 12HR 2_png.rf.mSR2WAZaiHT4hljqFuAE.png,HUVEC,12,test,nativo,1,10.434
A3 8H 2_png.rf.B5nEx5FtZ9JTiEjZrHJb.png,HUVEC,8,test,nativo,1,10.511
B1 12H 2_png.rf.cFU7xmBfmqqkIIa5q7nh.png,HUVEC,12,test,nativo,1,10.98
D4 24H 1_png.rf.l74W6BtAd1h2vbDdLYa7.png,HUVEC,24,test,nativo,1,11.098
Snap-54_1_png.rf.LYlBIIJ3KoqRfd7QemOX.png,SKOV-3,48,test,nativo,3,11.112
D1 12H 1_png.rf.mKsxEDejqQN6qCQxLyns.png,HUVEC,12,test,nativo,1,11.128
B5 8HR 2_png.rf.1bM2nfrE3C3SuMgkQzIF.png,HUVEC,8,test,nativo,1,11.144
B1 8HR 1_png.rf.AMXvM5M5gyDuLKC5DTa9.png,HUVEC,8,test,nativo,1,11.217
D4 8H 1_png.rf.a8mANb97avVu4hPsbo7a.png,HUVEC,8,test,nativo,1,11.329
D1 8HR 2_png.rf.zXqaP0fHqHbabD0CzjuF.png,HUVEC,8,test,nativo,1,11.476
A2 24H 2_png.rf.E5xmaghZdqaoko8wlaZh.png,HUVEC,24,test,nativo,1,11.675
A1 0HR 1_png.rf.bBmfdS8DK3Ixtw1fZ9P3.png,HUVEC,0,test,nativo,1,11.807
Snap-15_60_png.rf.AUB9Da86Zc4f2GiWRpgF.png,SKOV-3,24,test,nativo,3,11.892
D1 8H 1_png.rf.AmYzGCscmIMNbZlAIVL4.png,HUVEC,8,test,nativo,1,12.067
B1 12hr 1_png.rf.MkOpH7SVtG5q4EYuFmK2.png,HUVEC,12,test,640,1,12.108
B1 12hr 1_png.rf.Basp8dmX2exqZZBqydBx.png,HUVEC,12,test,640,1,12.14
A1 8HR 2_png.rf.emd32984S6mQhEIM0RXU.png,HUVEC,8,test,nativo,1,12.482
Snap-37_235_png.rf.fp1LasdFT1TZbfgrTie6.png,SKOV-3,24,test,nativo,2,12.843
B1 8H 2_png.rf.gA6SnVr547LgfEenVrRi.png,HUVEC,8,test,nativo,1,12.853
D3 24H 2_png.rf.vu9MuWKRyoy3WKGkVrI5.png,HUVEC,24,test,nativo,1,13.01
C5 12H 1_png.rf.OLiywuVh8Y6xj17HnU6e.png,HUVEC,12,test,nativo,1,13.067
Snap-42_225_png.rf.mQxoBxfdEUUtVkhWybfs.png,SKOV-3,24,test,nativo,1,13.353
A1 12hr 2_png.rf.Zc7e1rWOmWcCj4dykv3Z.png,HUVEC,12,test,640,1,13.448
A2 12H 1_png.rf.xnmVBn7WXmT4yiy3UMlx.png,HUVEC,12,test,nativo,1,13.468
B1 8H 1_png.rf.fqDTrXJGtwGnRUswH16c.png,HUVEC,8,test,nativo,1,13.725
D1 12H 2_png.rf.hM6Jhc6UJKSMWKFN6Pta.png,HUVEC,12,test,nativo,1,13.832
D4 0HR 1_png.rf.eLqJwBy4PkAeXHhqw8Ir.png,HUVEC,0,test,nativo,1,13.89
B1 8hr 2_png.rf.L73Y3X4Dx7HELGkPVNlg.png,HUVEC,8,test,640,1,13.915
Snap-18_182_png.rf.0olrnxTCWxDIVmtPK3HA.png,SKOV-3,24,test,nativo,1,13.922
C5 8H 1_png.rf.m0k3TjlxKvLXDFhuBq52.png,HUVEC,8,test,nativo,1,13.932
C5 8H 2_png.rf.Su3UAyP9dztNqZtfn0u1.png,HUVEC,8,test,nativo,1,14.036
B1 12H 1_png.rf.VB9B0BXSFCbQoytWKIkL.png,HUVEC,12,test,nativo,1,14.07
D3 24H 1_png.rf.lgES3xZvT7KoszPGhV44.png,HUVEC,24,test,nativo,1,14.1
D4 8H 2_png.rf.mnoVDerLhE6PpOQcbUog.png,HUVEC,8,test,nativo,1,14.137
D1 8H 2_png.rf.1Guur0r0WOYFqgYbD8Ix.png,HUVEC,8,test,nativo,1,14.394
F2 12H 1_png.rf.h05DU2gxBlXL6JdotHmg.png,HUVEC,12,test,nativo,1,14.667
A1 0HR 1_png.rf.F8WfJZAyU8hXcsKytbcA.png,HUVEC,0,test,nativo,1,15.031
B1 0HR 2_png.rf.GJOlprTE8cvwD4CrUmlP.png,HUVEC,0,test,nativo,1,15.04
A5 0HR 1_png.rf.ckTpizxWhCzqrJmwetqV.png,HUVEC,0,test,nativo,1,15.123
Snap-42_76_png.rf.erwRb4d1blf6lhZ6UFWy.png,SKOV-3,24,test,nativo,1,15.284
B5 8HR 2_png.rf.BzRPidTOrz4nL1zIlvSL.png,HUVEC,8,test,nativo,1,15.377
B4 8H 1_png.rf.OVZZyofXQpVrU06rEdEV.png,HUVEC,8,test,nativo,1,15.388
B4 12H 2_png.rf.BUDIsAimJHwizKA26kde.png,HUVEC,12,test,nativo,1,15.426
A2 12H 2_png.rf.N7tpAQyq0PEGrhaTGLJT.png,HUVEC,12,test,nativo,1,15.453
A2 8H 1_png.rf.xvZ2Owwq7kfNeQBUdLj1.png,HUVEC,8,test,nativo,1,15.46
B6 12hr 2_png.rf.y4b1NNhMuInMAANEGR5y.png,HUVEC,12,test,640,1,15.672
D1 0H 1_png.rf.fw3oXHFKRwGBIpMcBKY2.png,HUVEC,0,test,nativo,1,15.825
D1 0HR 1_png.rf.pXGKiyw6dpCjGOogRcBS.png,HUVEC,0,test,nativo,1,16.002
A6 12H 2_png.rf.bsoBQRnwC6AtJ5KRBKDv.png,HUVEC,12,test,nativo,1,16.089
B1 0HR 1_png.rf.eIMkkfHeHfLEZ04ezC1L.png,HUVEC,0,test,nativo,1,16.144
F2 8H 2_png.rf.dUFZVFJ0aVESmoGKjJ05.png,HUVEC,8,test,nativo,1,16.206
A2 8H 2_png.rf.7oLJskKDBKhwtDpwzZqy.png,HUVEC,8,test,nativo,1,16.279
Snap-52_153_png.rf.jWozliFwqBh7FtxPjDhr.png,SKOV-3,48,test,nativo,1,16.409
Snap-41_270_png.rf.46zb8PtP1Yuu9Wit1FpP.png,SKOV-3,72,test,nativo,1,16.501
A5 0HR 2_png.rf.C9gm2A2fkupz9aW1u7b9.png,HUVEC,0,test,nativo,1,16.569
D1 0HR 2_png.rf.Ak8bfHD2sNvAS5ARU8WU.png,HUVEC,0,test,nativo,1,16.606
A6 12H 1_png.rf.ttiuv3CjzGc6GvMTytlM.png,HUVEC,12,test,nativo,1,16.834
D4 0HR 2_png.rf.EwNjDB9ss3gmM00iJqPT.png,HUVEC,0,test,nativo,1,17.018
D4 12H 1_png.rf.9BeWOTfVwMn3ywdSyPmt.png,HUVEC,12,test,nativo,1,17.063
B4 0H 1_png.rf.UkNByK7H1jadGiO9HCAd.png,HUVEC,0,test,nativo,1,17.246
A1 0HR 2_png.rf.hVdiwx06lI7rOZ5rr9vC.png,HUVEC,0,test,nativo,1,17.291
A1 12hr 1_png.rf.hPnekH9tRkKoF84Y4HTD.png,HUVEC,12,test,640,1,17.54
D1 0H 2_png.rf.In3g26PLvIPVilZ9guvK.png,HUVEC,0,test,nativo,1,17.634
A6 8H 1_png.rf.0Ed4k50VKrxz80UdTuUb.png,HUVEC,8,test,nativo,1,17.702
A1 0HR 2_png.rf.wFANdrijgcCbWaNPdyi0.png,HUVEC,0,test,nativo,1,17.713
B6 0HR 1_png.rf.G9IIgGta9Gbbj9yqetJW.png,HUVEC,0,test,nativo,1,17.759
Snap-47_159_png.rf.iWHwHxKcpvJIH7RHtxRu.png,SKOV-3,48,test,nativo,1,17.764
B5 0HR 1_png.rf.J6hP1h51BcAFg4KFN6lN.png,HUVEC,0,test,nativo,1,18.112
Snap-36_271_png.rf.sfFr7wfzXmMz4JWE34hv.png,SKOV-3,72,test,nativo,1,18.233
D1 0HR 1_png.rf.X95BBgcop2LdYBHvWj7G.png,HUVEC,0,test,nativo,1,18.236
B1 12hr_1_png.rf.dB4OztvLmzVa4BGq5jCN.png,HUVEC,12,test,640,1,18.522
D4 0H 1_png.rf.hIDWQ46StqSUcKyGmBYY.png,HUVEC,0,test,nativo,1,18.761
A3 0H 1_png.rf.4oL1M95z5XQoppHkibCl.png,HUVEC,0,test,nativo,1,18.795
Snap-54_106_png.rf.VOFbghvZhHsPNSqUFFkZ.png,SKOV-3,24,test,nativo,1,19.119
Snap-24_96_png.rf.s6DeTIAvmh6iZiaYgj4W.png,SKOV-3,24,test,nativo,1,19.131
F2 12H 2_png.rf.2goGI5xvDCGG2PJZ8Its.png,HUVEC,12,test,nativo,1,19.136
D3 12H 1_png.rf.vDKmMF3YJlFSbIbFZHci.png,HUVEC,12,test,nativo,1,19.181
D4 8H 1_png.rf.xpR4xGrS7xqp2WqsHOdj.png,HUVEC,8,test,nativo,1,19.524
D4 0H 1_png.rf.FutNJ1bcHBCTMEvRlEBr.png,HUVEC,0,test,nativo,1,19.562
B1 12hr 1_png.rf.sRUPpw6VBKsEL7UWcuqg.png,HUVEC,12,test,640,1,19.745
D3 8H 1_png.rf.6ah0Jg4O5oakLSomUxcX.png,HUVEC,8,test,nativo,1,19.887
D4 8H 2_png.rf.ixTzZNh35XGijmR7VOtL.png,HUVEC,8,test,nativo,1,20.017
B5 0HR 2_png.rf.MUU0CWJgRWrZIA9N0J2X.png,HUVEC,0,test,nativo,1,20.071
D4 0H 2_png.rf.eVEb58gAMbcellIRwKuX.png,HUVEC,0,test,nativo,1,20.123
B1 8hr 1_png.rf.pwZlWzk9sZA3CwldABe9.png,HUVEC,8,test,640,1,20.123
D1 0HR 2_png.rf.pBkydjxMgVt0vB999uLo.png,HUVEC,0,test,nativo,1,20.273
C5 0H 1_png.rf.qfmzlYXXLFM1UbctuHo5.png,HUVEC,0,test,nativo,1,20.293
A6 8H 2_png.rf.8H5VYogwRaw3bc7Ufnp7.png,HUVEC,8,test,nativo,1,20.683
B1 8hr 1_png.rf.xNkp4JfkmuylOQerzD1Q.png,HUVEC,8,test,640,1,20.884
D3 12H 2_png.rf.bk65RyMB9bMlU59S1RY7.png,HUVEC,12,test,nativo,1,21.062
Snap-60_12_png.rf.AiY33Mo4Daj2M4cZgUnh.png,SKOV-3,48,test,nativo,1,21.091
B1 0hr 1_png.rf.MsTYgRqpBawgbfwCxIBh.png,HUVEC,0,test,640,1,21.185
C5 0H 1_png.rf.OdwF3vyzWYOgZ8CvxU5t.png,HUVEC,0,test,nativo,1,21.297
A3 0H 2_png.rf.QDCtQGDH1pznmeHT0BNJ.png,HUVEC,0,test,nativo,1,21.491
D3 8H 2_png.rf.RmIwn01JNbgfY0VcrlAP.png,HUVEC,8,test,nativo,1,21.544
B4 0H 2_png.rf.rXION3PvUG9p2y5KH5ZG.png,HUVEC,0,test,nativo,1,21.727
B1 0hr 1_png.rf.IpACHL1Orw6aFOfMt2L4.png,HUVEC,0,test,640,1,21.788
B5 0HR 1_png.rf.HyxAq2SZFEx1y342m6b9.png,HUVEC,0,test,nativo,1,21.905
C5 0H 2_png.rf.UQiYCwrvqp79phsQH2z3.png,HUVEC,0,test,nativo,1,21.927
D3 0H 1_png.rf.jWsUip53LaCF4OaEEFcb.png,HUVEC,0,test,nativo,1,22.809
D4 0H 2_png.rf.7RFXNZEElcEIxiB134la.png,HUVEC,0,test,nativo,1,22.905
E1 0H 1_png.rf.O4klFnPAFBZQG7ZiiWoa.png,HUVEC,0,test,nativo,1,23.054
E1 0H 2_png.rf.dwk6Z6HVga7ttj23PmV9.png,HUVEC,0,test,nativo,1,23.822
A6 0H 1_png.rf.rKpcg4iYJ50H0XfmG98n.png,HUVEC,0,test,nativo,1,24.627
A6 0H 2_png.rf.xTjPOuBdGBBEAQh6qzcS.png,HUVEC,0,test,nativo,1,24.64
D3 0H 2_png.rf.lkEcbAGS1IAwabi3cMT3.png,HUVEC,0,test,nativo,1,24.998
B1 0hr_1_png.rf.DUGXTEiLp7a24s7ag9dO.png,HUVEC,0,test,640,1,25.097
Snap-25_124_png.rf.qhyZRieBWx1vF8Vfj4ck.png,SKOV-3,48,test,nativo,1,25.462
Snap-47_219_png.rf.tXiQQL4hg3VyVt8yhPHg.png,SKOV-3,24,test,nativo,1,25.547
Snap-52_213_png.rf.YrkkVK1Bonf3TxwPZWyE.png,SKOV-3,24,test,nativo,1,25.594
B1 0hr_2_png.rf.wWUkB0l85vJDlD6q526J.png,HUVEC,0,test,640,1,26.051
B1 0hr 1_png.rf.HQmAp3GBzLOJSBnrI49n.png,HUVEC,0,test,640,1,26.276
B6 0hr 1_png.rf.tP2kS9n37GFU0hMWW7mV.png,HUVEC,0,test,640,1,26.332
B1 0H 2_png.rf.M9qDqnfqVRQAN3kixv3Y.png,HUVEC,0,test,nativo,1,28.192
ptx1_2_png.rf.mOSxinMIUOQxQUjpAhxb.png,SKOV-3,0,test,nativo,1,28.242
B1 0hr 2_png.rf.XjumgmgMNkQhrRGLEgFA.png,HUVEC,0,test,640,1,28.699
Snap-39_77_png.rf.FBpms3tKgC2fVOg0pxu7.png,SKOV-3,24,test,nativo,1,29.325
F2 0H 1_png.rf.zPl6vPkH5HpqtxJsWJxj.png,HUVEC,0,test,nativo,1,29.767
Snap-42_png.rf.vXnbjKiFLjrY6iWZoR1j.png,SKOV-3,0,test,nativo,1,31.417
Snap-25_184_png.rf.fnCmHOHxb5uRZMEeY7RB.png,SKOV-3,24,test,nativo,1,32.624
B1 0H 1_png.rf.j3ckb2OmuPoN1D2ZNrsL.png,HUVEC,0,test,nativo,1,32.96
D4 12H 2_png.rf.JoRndEJA1lep3hprLUOS.png,HUVEC,12,test,nativo,1,36.888
ct2_3_png.rf.05gH6Q4BVtzjbT8GvpXk.png,SKOV-3,0,test,nativo,1,37.214
Snap-54_png.rf.HGYLhnxL2tQsTiXRBg9n.png,SKOV-3,0,test,nativo,1,37.596
A2 0H 2_png.rf.wLkBHcGvevKm0A73Vxcz.png,HUVEC,0,test,nativo,1,38.944
Snap-60_png.rf.RpcRTxyR97nXnbvR3urB.png,SKOV-3,0,test,nativo,1,39.261
Snap-25_png.rf.NZSC2ldRJFXa4414jttF.png,SKOV-3,0,test,nativo,1,39.891
Snap-10_png.rf.yj7fOx6nAZtfK19C65wZ.png,SKOV-3,0,test,nativo,1,40.085
Snap-39_png.rf.B5ZdhBp8JGAo6JQji9gU.png,SKOV-3,0,test,nativo,1,40.202
ct2_5_png.rf.V6uuFIT0hRf8VvfkI0ft.png,SKOV-3,0,test,nativo,1,40.653
ptx2_4_png.rf.YEH27Bh4es5Hup4qomsA.png,SKOV-3,0,test,nativo,1,41.112
Snap-09_140_png.rf.MLfBljl6KhYw7N82HEXA.png,SKOV-3,48,train,nativo,0,0.0
A2 24HR 2_png.rf.7v4xBMHObHaA3NuLPSjm.png,HUVEC,24,train,nativo,0,0.0
C8 24HR 2_png.rf.89emK7tbJ4ArtvPfDi2F.png,HUVEC,24,train,nativo,0,0.0
Snap-12_143_png.rf.Rm5zxWJpiG4cZ3oTCpJH.png,SKOV-3,48,train,nativo,0,0.0
A3 24HR _png.rf.5mOrWeoDdCbiHpmsULlx.png,HUVEC,24,train,nativo,0,0.0
C1 24HR 2_png.rf.9exsonf957zV0aCSSZs8.png,HUVEC,24,train,nativo,0,0.0
C3 24HR 1_png.rf.pZgJEEa8LXWK8obYVuEZ.png,HUVEC,24,train,nativo,0,0.0
C6 24HR 2_png.rf.tHaJIce9FVY7cZYg4n8E.png,HUVEC,24,train,nativo,0,0.0
B2 24H 1_png.rf.XBc86UvTsYYrkQT5Lmb2.png,HUVEC,24,train,nativo,0,0.0
A8 24HR _png.rf.CCbBLxCj5oId78BvgGDS.png,HUVEC,24,train,nativo,0,0.0
C6 24HR 1_png.rf.IFOrJw5los4Q3fxu3iMl.png,HUVEC,24,train,nativo,0,0.0
Snap-13_19_png.rf.b6sHGo2amM793rhoOAp1.png,SKOV-3,48,train,nativo,0,0.0
B8 24h 1 _png.rf.VRJJ5SQ1mGJ3fW5YWRab.png,HUVEC,24,train,640,0,0.0
Snap-13_138_png.rf.l88Miu2G7y8rOkIqtnCW.png,SKOV-3,48,train,nativo,0,0.0
Snap-08_67_png.rf.pJTf39K2wKaqnC1k9jIb.png,SKOV-3,24,train,nativo,0,0.0
C2 24HR 2_png.rf.MPADEI7GuMyp9bi3AkAx.png,HUVEC,24,train,nativo,0,0.0
C1 24HR 1_png.rf.YPRq3IWss7VUaq3e3iGW.png,HUVEC,24,train,nativo,0,0.0
A4 24HR _png.rf.SoP1Ps5jNnRx92pvO7dO.png,HUVEC,24,train,nativo,0,0.0
