arquivo_b,stem_normalizado,arquivo_a,pasta_a,linha_celular,well_campo,timepoint_h,similaridade,margem_2o_melhor,status,experimento,tratamento,creation_dt,lote,trat_huvec,ctx_ambiguo
A1 24hr 1_png.rf.LkrEN1mHJhJhYU2lmydg.png,a1 24hr 1,A1 24hr 1.tiff,HUVEC/24h,HUVEC,A1,24,0.5364,0.2038,ambiguo,,,,Controle,,
A1 24HR 1_png.rf.psHGzfQFFYu0q9OMf12P.png,a1 24hr 1,,,HUVEC,A1,24,,,sem_candidato,,,,,,
Snap-59_152_png.rf.epaimzc0srccqJG6nJAH.png,snap-59,Snap-59 (2).tiff,SKOV/48h,SKOV,snap-59,48,0.9995,0.1465,ok,P1,GEO+PTX,,,,
Snap-59_png.rf.QAzP72FtBpszeTf2Mrk5.png,snap-59,Snap-59.tiff,SKOV/0h,SKOV,snap-59,0,0.9998,0.1468,ok,P2,CARBO+GEO,,,,
Snap-59_108_png.rf.pcjqa4byhXHVWqchoMza.png,snap-59,Snap-59.tiff,SKOV/24h,SKOV,snap-59,24,0.997,0.2019,ok,P2,CARBO+GEO,,,,
Snap-59_3_png.rf.GOvQjtVZo8TiQHDmnSM2.png,snap-59,Snap-59.tiff,SKOV/48h,SKOV,snap-59,48,0.9996,0.1669,ok,P2,CARBO+GEO,,,,
Snap-59_212_png.rf.mFpPNMwFcq90Zp1o20IQ.png,snap-59,Snap-59 (2).tiff,SKOV/24h,SKOV,snap-59,24,0.9996,0.1709,ok,P1,GEO+PTX,,,,
Snap-09_140_png.rf.MLfBljl6KhYw7N82HEXA.png,snap-9,Snap-09 (2).tiff,SKOV/48h,SKOV,snap-9,48,0.9994,0.1598,ok,P1,CT,,,,
Snap-09_245_png.rf.Sk2QN2VbMrtgID67t9q5.png,snap-9,Snap-09.tiff,SKOV/72h,SKOV,snap-9,72,0.9993,0.3111,ok,P1,PTX,,,,
Snap-09_200_png.rf.T1DuJr60ClWyEIrNPE9K.png,snap-9,Snap-09 (2).tiff,SKOV/24h,SKOV,snap-9,24,0.9995,0.1335,ok,P1,CT,,,,
Snap-09_21_png.rf.eX9WeCW8GgIO8pb44zNf.png,snap-9,Snap-09.tiff,SKOV/48h,SKOV,snap-9,48,0.9995,0.1473,ok,P2,CT,,,,
Snap-09_png.rf.8rxFGfmpj3ofgVOjtLkE.png,snap-9,Snap-09.tiff,SKOV/0h,SKOV,snap-9,0,0.9998,0.134,ok,P2,CT,,,,
Snap-09_66_png.rf.DXbLfCegxmVs4TDoenmh.png,snap-9,Snap-09.tiff,SKOV/24h,SKOV,snap-9,24,0.9993,0.1964,ok,P2,CT,,,,
A2 24HR 2_png.rf.7v4xBMHObHaA3NuLPSjm.png,a2 24hr 2,A2 24HR 2 (2).tiff,HUVEC/24h,HUVEC,A2,24,1.0,0.2748,ok,,,,Originais (1),,
A2 24HR 2_png.rf.BDWEbOGVMFPOsxkHkO6A.png,a2 24hr 2,A2 24HR 2.tiff,HUVEC/24h,HUVEC,A2,24,1.0,0.2748,ok,,,,originais,,
C4 8HR 1_png.rf.SWDpLEy94U9PmlA9XW2A.png,c4 8hr 1,C4 8HR 1.tiff,HUVEC/8h,HUVEC,C4,8,1.0,,ok,,,,Originais (1),,
Snap-52_153_png.rf.jWozliFwqBh7FtxPjDhr.png,snap-52,Snap-52 (2).tiff,SKOV/48h,SKOV,snap-52,48,0.9995,0.2985,ok,P1,GEO+PTX,,,,
Snap-52_109_png.rf.uchITFihZ7aBNqGdXlak.png,snap-52,Snap-52.tiff,SKOV/24h,SKOV,snap-52,24,0.9996,0.2479,ok,P2,CARBO+GEO,,,,
Snap-52_213_png.rf.YrkkVK1Bonf3TxwPZWyE.png,snap-52,Snap-52 (2).tiff,SKOV/24h,SKOV,snap-52,24,0.9996,0.3038,ok,P1,GEO+PTX,,,,
Snap-52_png.rf.quPTO48loQ0BH1YV5D1Z.png,snap-52,Snap-52.tiff,SKOV/0h,SKOV,snap-52,0,0.9985,0.2462,ok,P2,CARBO+GEO,,,,
Snap-52_4_png.rf.QgOXnOk246Qj4V3lKXiq.png,snap-52,Snap-52.tiff,SKOV/48h,SKOV,snap-52,48,0.9995,0.2836,ok,P2,CARBO+GEO,,,,
C8 24HR 2_png.rf.89emK7tbJ4ArtvPfDi2F.png,c8 24hr 2,C8 24HR 2.tiff,HUVEC/24h,HUVEC,C8,24,1.0,,ok,,,,Originais (1),,
Snap-12_143_png.rf.Rm5zxWJpiG4cZ3oTCpJH.png,snap-12,Snap-12 (2).tiff,SKOV/48h,SKOV,snap-12,48,0.9994,0.1839,ok,P1,CT,,,,
Snap-12_69_png.rf.WicraKQ0CdhUH1IJtnIT.png,snap-12,Snap-12.tiff,SKOV/24h,SKOV,snap-12,24,0.9994,0.1295,ok,P2,CT,,,,
Snap-12_24_png.rf.Ru6LnkVq8ptg2oaXuud7.png,snap-12,Snap-12.tiff,SKOV/48h,SKOV,snap-12,48,0.9996,0.1296,ok,P2,CT,,,,
Snap-12_247_png.rf.bejYN9qav9OwHOvHDtwA.png,snap-12,Snap-12.tiff,SKOV/72h,SKOV,snap-12,72,0.9992,0.289,ok,P1,PTX,,,,
Snap-12_203_png.rf.JEql0PcElKuzYrOsXGDk.png,snap-12,Snap-12 (2).tiff,SKOV/24h,SKOV,snap-12,24,0.9995,0.1886,ok,P1,CT,,,,
Snap-12_png.rf.JaRx2jnw5N6x11Hp0geO.png,snap-12,Snap-12.tiff,SKOV/0h,SKOV,snap-12,0,0.9998,0.1299,ok,P2,CT,,,,
A3 24HR _png.rf.5mOrWeoDdCbiHpmsULlx.png,a3 24hr,A3 24HR .tiff,HUVEC/24h,HUVEC,A3,24,1.0,,ok,,,,Originais (1),,
A4 12hr 1_png.rf.XWAGCiM6UOAh8GvapFEg.png,a4 12hr 1,A4 12hr 1.tiff,HUVEC/12h,HUVEC,A4,12,0.9468,0.2937,ok,,,,Controle,,
A4 12HR 1_png.rf.dBXjee0yNJkn5uvIsedn.png,a4 12hr 1,A4 12HR 1 (2).tiff,HUVEC/12h,HUVEC,A4,12,1.0,0.3626,ok,,,,Originais (1),,
A4 12HR 1_png.rf.QTYICw9XjNE9ky97j1dh.png,a4 12hr 1,,,HUVEC,A4,12,,,sem_candidato,,,,,,
B8 8H 1_png.rf.aR8jpRAFVNgRDwOjlUoR.png,b8 8h 1,B8 8H 1.tiff,HUVEC/8h,HUVEC,B8,8,1.0,,ok,,,,LUIS RAW,PEP+MCC,
B8 0H 1_png.rf.VRh7efysiNi7AJTUXkt0.png,b8 0h 1,B8 0H 1.tiff,HUVEC/0h,HUVEC,B8,0,1.0,,ok,,,,LUIS RAW,PEP+MCC,
C7 8HR 2_png.rf.2dvwHn7EvY990K3vz72Z.png,c7 8hr 2,C7 8HR 2 (2).tiff,HUVEC/8h,HUVEC,C7,8,1.0,0.5781,ok,,,,Originais (1),,
C7 8hr 2_png.rf.V0K6p7rMxYZjaTtmW246.png,c7 8hr 2,C7 8hr 2.tiff,HUVEC/8h,HUVEC,C7,8,0.8442,0.3975,ok,,,,Pré-Eclâmpsia,,
D3 0HR 2_png.rf.xg8UuwFd0AAbsMueldhL.png,d3 0hr 2,D3 0HR 2 (2).tiff,HUVEC/0h,HUVEC,D3,0,1.0,0.4128,ok,,,,Originais (1),,
D3 0HR 2_png.rf.j8JuVxL68QInkMt5FJpM.png,d3 0hr 2,D3 0HR 2.tiff,HUVEC/0h,HUVEC,D3,0,1.0,0.4128,ok,,,,originais,,
Snap-08_246_png.rf.RqnG5jTrBo52eftjs5DV.png,snap-8,Snap-08.tiff,SKOV/72h,SKOV,snap-8,72,0.9992,0.2357,ok,P1,PTX,,,,
Snap-08_201_png.rf.chUbIWmSPfojmz0KJLAC.png,snap-8,Snap-08 (2).tiff,SKOV/24h,SKOV,snap-8,24,0.9995,0.2305,ok,P1,CT,,,,
Snap-08_67_png.rf.pJTf39K2wKaqnC1k9jIb.png,snap-8,Snap-08.tiff,SKOV/24h,SKOV,snap-8,24,0.9992,0.2556,ok,P2,CT,,,,
Snap-08_141_png.rf.xxwXm4vgaTgEnxfrDBvk.png,snap-8,Snap-08 (2).tiff,SKOV/48h,SKOV,snap-8,48,0.9994,0.2185,ok,P1,CT,,,,
Snap-08_png.rf.nMSmGWytV5eO27dMe1ee.png,snap-8,Snap-08.tiff,SKOV/0h,SKOV,snap-8,0,0.9996,0.1985,ok,P2,CT,,,,
Snap-08_22_png.rf.GCWDDmkNJNGxWqA6yAIT.png,snap-8,Snap-08.tiff,SKOV/48h,SKOV,snap-8,48,0.9995,0.198,ok,P2,CT,,,,
C8 8hr 1_png.rf.9Nm17LTxJEYER3hsq1MI.png,c8 8hr 1,C8 8hr 1.tiff,HUVEC/8h,HUVEC,C8,8,0.9109,0.2937,ok,,,,Pré-Eclâmpsia,,
C8 8HR 1_png.rf.D6drV1sVRsS2i9BLf4Zq.png,c8 8hr 1,C8 8HR 1 (2).tiff,HUVEC/8h,HUVEC,C8,8,1.0,0.3687,ok,,,,Originais (1),,
Snap-55_png.rf.mdqwr9JeLjcb6ofmfYgj.png,snap-55,Snap-55.tiff,SKOV/0h,SKOV,snap-55,0,0.9987,0.2016,ok,P2,CARBO+GEO,,,,
Snap-55_151_png.rf.HB3SBxZfAuHyuw16MFoY.png,snap-55,Snap-55 (2).tiff,SKOV/48h,SKOV,snap-55,48,0.9995,0.1452,ok,P1,GEO+PTX,,,,
Snap-55_2_png.rf.yBgBsBStUWm9nrHoWzT9.png,snap-55,Snap-55.tiff,SKOV/48h,SKOV,snap-55,48,0.9997,0.1453,ok,P2,CARBO+GEO,,,,
Snap-55_211_png.rf.EPNfhr87AJkv5f9UxEy5.png,snap-55,Snap-55 (2).tiff,SKOV/24h,SKOV,snap-55,24,0.9995,0.1939,ok,P1,GEO+PTX,,,,
Snap-55_107_png.rf.sR9Ln7DKRgZ1U7IHe31n.png,snap-55,Snap-55.tiff,SKOV/24h,SKOV,snap-55,24,0.9996,0.1598,ok,P2,CARBO+GEO,,,,
C2 8hr 2_png.rf.rQVAAegUPaNnrnxfZwFG.png,c2 8hr 2,C2 8hr 2.tiff,HUVEC/8h,HUVEC,C2,8,0.9477,0.3922,ok,,,,Pré-Eclâmpsia,,
C2 8HR 2_png.rf.FAjaOYFoSVkGWqoTepQb.png,c2 8hr 2,C2 8HR 2 (2).tiff,HUVEC/8h,HUVEC,C2,8,1.0,0.4333,ok,,,,Originais (1),,
Snap-50_217_png.rf.rf55ujFurc07N7cDRLSR.png,snap-50,Snap-50 (2).tiff,SKOV/24h,SKOV,snap-50,24,0.9997,0.1754,ok,P1,GEO+PTX,,,,
Snap-50_8_png.rf.GllVB6GPGv2m6wnXP8At.png,snap-50,Snap-50.tiff,SKOV/48h,SKOV,snap-50,48,0.9994,0.2215,ok,P2,CARBO+GEO,,,,
Snap-50_113_png.rf.tvrHilkt9qEzTsmrzhEz.png,snap-50,Snap-50.tiff,SKOV/24h,SKOV,snap-50,24,0.9995,0.1888,ok,P2,CARBO+GEO,,,,
Snap-50_157_png.rf.O8bQtgrO9JA4I4wWYrex.png,snap-50,Snap-50 (2).tiff,SKOV/48h,SKOV,snap-50,48,0.9997,0.1757,ok,P1,GEO+PTX,,,,
Snap-50_png.rf.HA7jd2gx3sJmNEaL5hJZ.png,snap-50,Snap-50.tiff,SKOV/0h,SKOV,snap-50,0,0.9975,0.2078,ok,P2,CARBO+GEO,,,,
B8 12hr 1_png.rf.shTHCf0lYwAgMJRKyceK.png,b8 12hr 1,B8 12hr 1.tiff,HUVEC/12h,HUVEC,B8,12,0.8868,0.3914,ok,,,,Pré-Eclâmpsia,,
B8 12hr 1_png.rf.iih8Y7cF2NixGIHCxYM5.png,b8 12hr 1,,,HUVEC,B8,12,,,sem_candidato,,,,,,
B8 12HR 1_png.rf.nI0MDsT82HP4ly7A64T9.png,b8 12hr 1,,,HUVEC,B8,12,,,sem_candidato,,,,,,
B8 12HR 1_png.rf.nFJGtYupFefeBl1Usry3.png,b8 12hr 1,B8 12HR 1 (2).tiff,HUVEC/12h,HUVEC,B8,12,1.0,0.511,ok,,,,Originais (1),,
C1 24HR 2_png.rf.9exsonf957zV0aCSSZs8.png,c1 24hr 2,C1 24HR 2.tiff,HUVEC/24h,HUVEC,C1,24,1.0,,ok,,,,Originais (1),,
C3 24HR 1_png.rf.pZgJEEa8LXWK8obYVuEZ.png,c3 24hr 1,C3 24HR 1.tiff,HUVEC/24h,HUVEC,C3,24,1.0,,ok,,,,Originais (1),,
B7 12HR 1_png.rf.tQR8sr43YTBxjNYm3tqF.png,b7 12hr 1,B7 12HR 1 (2).tiff,HUVEC/12h,HUVEC,B7,12,1.0,0.227,ok,,,,Originais (1),,
B7 12hr 1_png.rf.hlhcADdzO6iuhfQES5Fp.png,b7 12hr 1,B7 12hr 1.tiff,HUVEC/12h,HUVEC,B7,12,0.9662,0.188,ok,,,,Saudável,,
