ordem,pasta_triagem,adjudicado_depois_como,cell_line,analysis_unit,timepoint_h,campo,area_pct_whst,arquivo_overlay,whst_input_file,motivo,pasta_correta?,categoria_sugerida,confianca
11,_IMG_INVALIDA,,SKOV-3,P1|GEO+PTX|F6,0,F6,61.265,SKOV-3__P1_GEO_PTX_F6__tp00h__F6__75ug_ptx2_1__56448aa7e3.jpg,56448aa7e3__BASELINE__SKOV-3__P1_GEO+PTX_F6__tp0h__75ug+ptx2_1.tiff,,,,
12,_IMG_INVALIDA,,SKOV-3,P1|GEO|F11,0,F11,64.014,SKOV-3__P1_GEO_F11__tp00h__F11__75geo3_1__6a31bf39c3.jpg,6a31bf39c3__BASELINE__SKOV-3__P1_GEO_F11__tp0h__75geo3_1.tiff,,,,
13,_IMG_INVALIDA,,SKOV-3,P1|GEO|F6,0,F6,63.012,SKOV-3__P1_GEO_F6__tp00h__F6__75geo2_1__c7f1856fab.jpg,c7f1856fab__BASELINE__SKOV-3__P1_GEO_F6__tp0h__75geo2_1.tiff,,,,
14,_IMG_INVALIDA,,SKOV-3,P2|CARBO|F5,0,F5,55.869,SKOV-3__P2_CARBO_F5__tp00h__F5__Snap_21__bdb26c487f.jpg,bdb26c487f__BASELINE_ALT__SKOV-3__P2_CARBO_F5__tp0h__Snap-21.tiff,,,,
15,_SEG_RUIM/_sub,,HUVEC,Controle||None||A1,12,2,9.938,HUVEC__Controle_Saudavel_None_A1__tp12h__2__A1_12hr_2__4912771227.jpg,4912771227__HUVEC__Controle+Saudavel_None_A1__tp12h__A1_12hr_2.tiff,,,,
16,_SEG_RUIM/_sub,,HUVEC,LUIS RAW||PEP+GB||A3,0,2,7.721,HUVEC__LUIS_RAW_PEP_GB_A3__tp00h__2__A3_0H_2__e3071d5205.jpg,e3071d5205__HUVEC__LUIS_RAW_PEP+GB_A3__tp0h__A3_0H_2.tiff,,,,
17,_SEG_RUIM/_sub,,HUVEC,LUIS RAW||PEP+GB||A3,12,1,4.073,HUVEC__LUIS_RAW_PEP_GB_A3__tp12h__1__A3_12H_1__cc55a9026b.jpg,cc55a9026b__HUVEC__LUIS_RAW_PEP+GB_A3__tp12h__A3_12H_1.tiff,,,,
18,_SEG_RUIM/_sub,,HUVEC,LUIS RAW||PEP+GB||A3,12,2,3.685,HUVEC__LUIS_RAW_PEP_GB_A3__tp12h__2__A3_12H_2__f8f76efe0c.jpg,f8f76efe0c__HUVEC__LUIS_RAW_PEP+GB_A3__tp12h__A3_12H_2.tiff,,,,
19,_SEG_RUIM/_sub,,HUVEC,LUIS RAW||PEP+MCC||B4,8,2,3.219,HUVEC__LUIS_RAW_PEP_MCC_B4__tp08h__2__B4_8H_2__9f0a5a4a06.jpg,9f0a5a4a06__HUVEC__LUIS_RAW_PEP+MCC_B4__tp8h__B4_8H_2.tiff,,,,
20,_SEG_RUIM/_sub,,HUVEC,LUIS RAW||PEP+MET3||A6,0,2,0.128,HUVEC__LUIS_RAW_PEP_MET3_A6__tp00h__2__A6_0H_2__161686180c.jpg,161686180c__HUVEC__LUIS_RAW_PEP+MET3_A6__tp0h__A6_0H_2.tiff,,,,
21,_SEG_RUIM/_sub,,HUVEC,LUIS RAW||PEP+MET3||A6,24,1,6.263,HUVEC__LUIS_RAW_PEP_MET3_A6__tp24h__1__A6_24H_1__52cbd70f1b.jpg,52cbd70f1b__HUVEC__LUIS_RAW_PEP+MET3_A6__tp24h__A6_24H_1.tiff,,,,
22,_SEG_RUIM/_sub,,HUVEC,LUIS RAW||PEP+MET3||A6,24,2,4.926,HUVEC__LUIS_RAW_PEP_MET3_A6__tp24h__2__A6_24H_2__d2a741e45b.jpg,d2a741e45b__HUVEC__LUIS_RAW_PEP+MET3_A6__tp24h__A6_24H_2.tiff,,,,
23,_SEG_RUIM/_sub,,HUVEC,LUIS RAW||PEP||E1,8,2,7.165,HUVEC__LUIS_RAW_PEP_E1__tp08h__2__E1_8H_2__609fee8a39.jpg,609fee8a39__HUVEC__LUIS_RAW_PEP_E1__tp8h__E1_8H_2.tiff,,,,
24,_SEG_RUIM/_sub,,HUVEC,Saudável||None||B1,24,1,2.421,HUVEC__Controle_Saudavel_None_B1__tp24h__1__B1_24hr_1__3bad7fe6bb.jpg,3bad7fe6bb__HUVEC__Controle+Saudavel_None_B1__tp24h__B1_24hr_1.tiff,,,,
25,_SEG_RUIM/_sub,,HUVEC,originais||None||D4,8,2,4.732,HUVEC__originais_None_D4__tp08h__2__D4_8HR_2__0a2a2af49b.jpg,0a2a2af49b__HUVEC__originais_None_D4__tp8h__D4_8HR_2.tiff,,,,
26,_SEG_RUIM/_sub,,SKOV-3,P1|GEO+PTX|F6,72,F6,8.951,SKOV-3__P1_GEO_PTX_F6__tp72h__F6__Snap_41__2166dad4b4.jpg,2166dad4b4__SKOV-3__P1_GEO+PTX_F6__tp72h__Snap-41.tiff,,,,
27,_SEG_RUIM/_sub,,SKOV-3,P2|CARBO+GEO|F8,48,F8,5.872,SKOV-3__P2_CARBO_GEO_F8__tp48h__F8__Snap_54__431a247e4d.jpg,431a247e4d__SKOV-3__P2_CARBO+GEO_F8__tp48h__Snap-54.tiff,,,,
28,_SEG_RUIM/_sub,,SKOV-3,P2|CARBO|F9,0,F9,30.715,SKOV-3__P2_CARBO_F9__tp00h__F9__Snap_25__6fb12c61f6.jpg,6fb12c61f6__SKOV-3__P2_CARBO_F9__tp0h__Snap-25.tiff,,,,
29,_AMBIGUO,OK,HUVEC,Controle||None||A1,24,2,2.095,HUVEC__Controle_Saudavel_None_A1__tp24h__2__A1_24h_2__852829b565.jpg,852829b565__HUVEC__Controle+Saudavel_None_A1__tp24h__A1_24h_2.tiff,,,,
30,_AMBIGUO,SEG_RUIM/sub,HUVEC,LUIS RAW||PEP+GB||A3,8,1,5.029,HUVEC__LUIS_RAW_PEP_GB_A3__tp08h__1__A3_8H_1__a174960b96.jpg,a174960b96__HUVEC__LUIS_RAW_PEP+GB_A3__tp8h__A3_8H_1.tiff,,,,
31,_AMBIGUO,SEG_RUIM/sub,HUVEC,LUIS RAW||PEP+MCC||B4,0,2,11.295,HUVEC__LUIS_RAW_PEP_MCC_B4__tp00h__2__B4_0H_2__30d94f864c.jpg,30d94f864c__HUVEC__LUIS_RAW_PEP+MCC_B4__tp0h__B4_0H_2.tiff,,,,
32,_AMBIGUO,SEG_RUIM/sub,HUVEC,LUIS RAW||PEP+MET3||A6,0,1,16.895,HUVEC__LUIS_RAW_PEP_MET3_A6__tp00h__1__A6_0H_1__9f614303f3.jpg,9f614303f3__HUVEC__LUIS_RAW_PEP+MET3_A6__tp0h__A6_0H_1.tiff,,,,
33,_AMBIGUO,IMG_INVALIDA,HUVEC,LUIS RAW||PEP||E1,12,2,4.643,HUVEC__LUIS_RAW_PEP_E1__tp12h__2__E1_12H_2__6aac6703c3.jpg,6aac6703c3__HUVEC__LUIS_RAW_PEP_E1__tp12h__E1_12H_2.tiff,,,,
34,_AMBIGUO,SEG_RUIM/super,HUVEC,originais||None||D1,24,1,4.703,HUVEC__originais_None_D1__tp24h__1__D1_24HR_1__8ea9f57fed.jpg,8ea9f57fed__HUVEC__originais_None_D1__tp24h__D1_24HR_1.tiff,,,,
35,_AMBIGUO,SEG_RUIM/super,HUVEC,originais||None||D4,8,1,6.95,HUVEC__originais_None_D4__tp08h__1__D4_8HR_1__89b61b11f6.jpg,89b61b11f6__HUVEC__originais_None_D4__tp8h__D4_8HR_1.tiff,,,,
36,_AMBIGUO,OK,SKOV-3,P1|GEO+PTX|F6,48,F6,1.543,SKOV-3__P1_GEO_PTX_F6__tp48h__F6__Snap_52_2__58a4cc19a9.jpg,58a4cc19a9__SKOV-3__P1_GEO+PTX_F6__tp48h__Snap-52_2.tiff,,,,
37,_AMBIGUO,IMG_INVALIDA,SKOV-3,P1|GEO|F11,72,F11,1.455,SKOV-3__P1_GEO_F11__tp72h__F11__Snap_31__6dfed6db6e.jpg,6dfed6db6e__SKOV-3__P1_GEO_F11__tp72h__Snap-31.tiff,,,,
38,_AMBIGUO,IMG_INVALIDA,SKOV-3,P1|GEO|F6,72,F6,0.867,SKOV-3__P1_GEO_F6__tp72h__F6__Snap_26__4406107ac9.jpg,4406107ac9__SKOV-3__P1_GEO_F6__tp72h__Snap-26.tiff,,,,
39,_AMBIGUO,OK,SKOV-3,P2|CARBO|F5,24,F5,9.768,SKOV-3__P2_CARBO_F5__tp24h__F5__Snap_20__e38b9ca083.jpg,e38b9ca083__SKOV-3__P2_CARBO_F5__tp24h__Snap-20.tiff,,,,
40,_AMBIGUO,SEG_RUIM/sub,SKOV-3,P2|CARBO|F5,48,F5,14.379,SKOV-3__P2_CARBO_F5__tp48h__F5__Snap_21__e068a53984.jpg,e068a53984__SKOV-3__P2_CARBO_F5__tp48h__Snap-21.tiff,,,,
41,_SEG_RUIM/_super,,HUVEC,Controle||None||A1,24,1,1.035,HUVEC__Controle_Saudavel_None_A1__tp24h__1__A1_24h_1__7131dcbea1.jpg,7131dcbea1__HUVEC__Controle+Saudavel_None_A1__tp24h__A1_24h_1.tiff,,,,
42,_SEG_RUIM/_super,,HUVEC,Controle||None||B1,0,1,47.13,HUVEC__Controle_Saudavel_None_B1__tp00h__1__B1_0hr_1__0b6e433347.jpg,0b6e433347__HUVEC__Controle+Saudavel_None_B1__tp0h__B1_0hr_1.tiff,,,,
43,_SEG_RUIM/_super,,HUVEC,Controle||None||B1,0,2,59.164,HUVEC__Controle_Saudavel_None_B1__tp00h__2__B1_0hr_2__6a4edc8aeb.jpg,6a4edc8aeb__HUVEC__Controle+Saudavel_None_B1__tp0h__B1_0hr_2.tiff,,,,
44,_SEG_RUIM/_super,,HUVEC,Controle||None||B1,8,1,34.466,HUVEC__Controle_Saudavel_None_B1__tp08h__1__B1_8hr_1__379d95a8e1.jpg,379d95a8e1__HUVEC__Controle+Saudavel_None_B1__tp8h__B1_8hr_1.tiff,,,,
45,_SEG_RUIM/_super,,HUVEC,Controle||None||B1,8,2,26.102,HUVEC__Controle_Saudavel_None_B1__tp08h__2__B1_8hr_2__80b3243635.jpg,80b3243635__HUVEC__Controle+Saudavel_None_B1__tp8h__B1_8hr_2.tiff,,,,
46,_SEG_RUIM/_super,,HUVEC,Controle||None||B1,12,1,49.312,HUVEC__Controle_Saudavel_None_B1__tp12h__1__B1_12hr_1__62c9f5d9a5.jpg,62c9f5d9a5__HUVEC__Controle+Saudavel_None_B1__tp12h__B1_12hr_1.tiff,,,,
47,_SEG_RUIM/_super,,HUVEC,LUIS RAW||PEP+GB||A3,24,1,0.764,HUVEC__LUIS_RAW_PEP_GB_A3__tp24h__1__A3_24H_1__ff300c2862.jpg,ff300c2862__HUVEC__LUIS_RAW_PEP+GB_A3__tp24h__A3_24H_1.tiff,,,,
48,_SEG_RUIM/_super,,HUVEC,LUIS RAW||PEP+GB||A3,24,2,0.042,HUVEC__LUIS_RAW_PEP_GB_A3__tp24h__2__A3_24H_2_2__545022361d.jpg,545022361d__HUVEC__LUIS_RAW_PEP+GB_A3__tp24h__A3_24H_2_2.tiff,,,,
49,_SEG_RUIM/_super,,HUVEC,LUIS RAW||PEP+MCC||B4,8,1,28.697,HUVEC__LUIS_RAW_PEP_MCC_B4__tp08h__1__B4_8H_1__e0911e22cc.jpg,e0911e22cc__HUVEC__LUIS_RAW_PEP+MCC_B4__tp8h__B4_8H_1.tiff,,,,
50,_SEG_RUIM/_super,,HUVEC,LUIS RAW||PEP+MCC||B4,12,2,44.578,HUVEC__LUIS_RAW_PEP_MCC_B4__tp12h__2__B4_12H_2__9984e40df9.jpg,9984e40df9__HUVEC__LUIS_RAW_PEP+MCC_B4__tp12h__B4_12H_2.tiff,,,,
51,_SEG_RUIM/_super,,HUVEC,LUIS RAW||PEP+MCC||B4,24,1,42.35,HUVEC__LUIS_RAW_PEP_MCC_B4__tp24h__1__B4_24H_1_2__e31a26b3ae.jpg,e31a26b3ae__HUVEC__LUIS_RAW_PEP+MCC_B4__tp24h__B4_24H_1_2.tiff,,,,
52,_SEG_RUIM/_super,,HUVEC,LUIS RAW||PEP+MCC||B4,24,2,8.738,HUVEC__LUIS_RAW_PEP_MCC_B4__tp24h__2__B4_24H_2_2__1daac83e9d.jpg,1daac83e9d__HUVEC__LUIS_RAW_PEP+MCC_B4__tp24h__B4_24H_2_2.tiff,,,,
53,_SEG_RUIM/_super,,HUVEC,LUIS RAW||PEP+MET3||A6,8,2,23.08,HUVEC__LUIS_RAW_PEP_MET3_A6__tp08h__2__A6_8H_2__226a0493b4.jpg,226a0493b4__HUVEC__LUIS_RAW_PEP+MET3_A6__tp8h__A6_8H_2.tiff,,,,
54,_SEG_RUIM/_super,,HUVEC,LUIS RAW||PEP||E1,24,1,0.966,HUVEC__LUIS_RAW_PEP_E1__tp24h__1__E1_24H_1__9ec02dd0f0.jpg,9ec02dd0f0__HUVEC__LUIS_RAW_PEP_E1__tp24h__E1_24H_1.tiff,,,,
55,_SEG_RUIM/_super,,HUVEC,LUIS RAW||PET||C5,12,1,35.08,HUVEC__LUIS_RAW_PET_C5__tp12h__1__C5_12H_1__30813da992.jpg,30813da992__HUVEC__LUIS_RAW_PET_C5__tp12h__C5_12H_1.tiff,,,,
56,_SEG_RUIM/_super,,HUVEC,LUIS RAW||PET||F2,8,2,14.038,HUVEC__LUIS_RAW_PET_F2__tp08h__2__F2_8H_2__ab1e438082.jpg,ab1e438082__HUVEC__LUIS_RAW_PET_F2__tp8h__F2_8H_2.tiff,,,,
57,_SEG_RUIM/_super,,HUVEC,LUIS RAW||PET||F2,12,1,23.64,HUVEC__LUIS_RAW_PET_F2__tp12h__1__F2_12H_1__7e12b751cc.jpg,7e12b751cc__HUVEC__LUIS_RAW_PET_F2__tp12h__F2_12H_1.tiff,,,,
58,_SEG_RUIM/_super,,HUVEC,LUIS RAW||PET||F2,12,2,25.522,HUVEC__LUIS_RAW_PET_F2__tp12h__2__F2_12H_2__be0b2a74bf.jpg,be0b2a74bf__HUVEC__LUIS_RAW_PET_F2__tp12h__F2_12H_2.tiff,,,,
59,_SEG_RUIM/_super,,HUVEC,Migração (PET e PEP) n1 - RAW||PEP + NEB 5uM||D4,0,1,74.045,HUVEC__Migra_o_PET_e_PEP_n1_RAW_PEP_NEB_5uM_D4__tp00h__1__D4_0H_1__eeb18a29d8.jpg,eeb18a29d8__HUVEC__Migra_o_PET_e_PEP_n1_-_RAW_PEP_+_NEB_5uM_D4__tp0h__D4_0H_1.tiff,,,,
60,_SEG_RUIM/_super,,HUVEC,Migração (PET e PEP) n1 - RAW||PEP + NEB 5uM||D4,0,2,95.116,HUVEC__Migra_o_PET_e_PEP_n1_RAW_PEP_NEB_5uM_D4__tp00h__2__D4_0H_2__876603b483.jpg,876603b483__HUVEC__Migra_o_PET_e_PEP_n1_-_RAW_PEP_+_NEB_5uM_D4__tp0h__D4_0H_2.tiff,,,,
61,_SEG_RUIM/_super,,HUVEC,Migração (PET e PEP) n1 - RAW||PEP + NEB 5uM||D4,8,1,36.771,HUVEC__Migra_o_PET_e_PEP_n1_RAW_PEP_NEB_5uM_D4__tp08h__1__D4_8H_1__4826c4f4b8.jpg,4826c4f4b8__HUVEC__Migra_o_PET_e_PEP_n1_-_RAW_PEP_+_NEB_5uM_D4__tp8h__D4_8H_1.tiff,,,,
62,_SEG_RUIM/_super,,HUVEC,Migração (PET e PEP) n1 - RAW||PEP + NEB 5uM||D4,8,2,30.468,HUVEC__Migra_o_PET_e_PEP_n1_RAW_PEP_NEB_5uM_D4__tp08h__2__D4_8H_2__67ffbd1e7d.jpg,67ffbd1e7d__HUVEC__Migra_o_PET_e_PEP_n1_-_RAW_PEP_+_NEB_5uM_D4__tp8h__D4_8H_2.tiff,,,,
63,_SEG_RUIM/_super,,HUVEC,Migração (PET e PEP) n1 - RAW||PEP + NEB 5uM||D4,12,1,44.185,HUVEC__Migra_o_PET_e_PEP_n1_RAW_PEP_NEB_5uM_D4__tp12h__1__D4_12H_1__df5b31f84c.jpg,df5b31f84c__HUVEC__Migra_o_PET_e_PEP_n1_-_RAW_PEP_+_NEB_5uM_D4__tp12h__D4_12H_1.tiff,,,,
64,_SEG_RUIM/_super,,HUVEC,Migração (PET e PEP) n1 - RAW||PEP + NEB 5uM||D4,12,2,60.523,HUVEC__Migra_o_PET_e_PEP_n1_RAW_PEP_NEB_5uM_D4__tp12h__2__D4_12H_2__d4aba0cc0b.jpg,d4aba0cc0b__HUVEC__Migra_o_PET_e_PEP_n1_-_RAW_PEP_+_NEB_5uM_D4__tp12h__D4_12H_2.tiff,,,,
65,_SEG_RUIM/_super,,HUVEC,Migração (PET e PEP) n1 - RAW||PEP + NEB 5uM||D4,24,1,84.11,HUVEC__Migra_o_PET_e_PEP_n1_RAW_PEP_NEB_5uM_D4__tp24h__1__D4_24H_1__d8240f29e1.jpg,d8240f29e1__HUVEC__Migra_o_PET_e_PEP_n1_-_RAW_PEP_+_NEB_5uM_D4__tp24h__D4_24H_1.tiff,,,,
66,_SEG_RUIM/_super,,HUVEC,Migração (PET e PEP) n1 - RAW||PEP + NEB 5uM||D4,24,2,96.736,HUVEC__Migra_o_PET_e_PEP_n1_RAW_PEP_NEB_5uM_D4__tp24h__2__D4_24H_2__9f5991f031.jpg,9f5991f031__HUVEC__Migra_o_PET_e_PEP_n1_-_RAW_PEP_+_NEB_5uM_D4__tp24h__D4_24H_2.tiff,,,,
67,_SEG_RUIM/_super,,HUVEC,Migração (PET e PEP) n1 - RAW||PET + NEB 1uM||C5,0,1,47.974,HUVEC__Migra_o_PET_e_PEP_n1_RAW_PET_NEB_1uM_C5__tp00h__1__C5_0H_1_2__4d1c387ecc.jpg,4d1c387ecc__HUVEC__Migra_o_PET_e_PEP_n1_-_RAW_PET_+_NEB_1uM_C5__tp0h__C5_0H_1_2.tiff,,,,
68,_SEG_RUIM/_super,,HUVEC,Migração (PET e PEP) n1 - RAW||PET + NEB 1uM||C5,0,2,64.566,HUVEC__Migra_o_PET_e_PEP_n1_RAW_PET_NEB_1uM_C5__tp00h__2__C5_0H_2_2__cf9152592e.jpg,cf9152592e__HUVEC__Migra_o_PET_e_PEP_n1_-_RAW_PET_+_NEB_1uM_C5__tp0h__C5_0H_2_2.tiff,,,,
69,_SEG_RUIM/_super,,HUVEC,Migração (PET e PEP) n1 - RAW||PET + NEB 1uM||C5,8,1,70.706,HUVEC__Migra_o_PET_e_PEP_n1_RAW_PET_NEB_1uM_C5__tp08h__1__C5_8H_1_2__c942b61a06.jpg,c942b61a06__HUVEC__Migra_o_PET_e_PEP_n1_-_RAW_PET_+_NEB_1uM_C5__tp8h__C5_8H_1_2.tiff,,,,
70,_SEG_RUIM/_super,,HUVEC,Migração (PET e PEP) n1 - RAW||PET + NEB 1uM||C5,8,2,60.516,HUVEC__Migra_o_PET_e_PEP_n1_RAW_PET_NEB_1uM_C5__tp08h__2__C5_8H_2_2__77136aab22.jpg,77136aab22__HUVEC__Migra_o_PET_e_PEP_n1_-_RAW_PET_+_NEB_1uM_C5__tp8h__C5_8H_2_2.tiff,,,,
71,_SEG_RUIM/_super,,HUVEC,Migração (PET e PEP) n1 - RAW||PET + NEB 1uM||C5,12,1,43.039,HUVEC__Migra_o_PET_e_PEP_n1_RAW_PET_NEB_1uM_C5__tp12h__1__C5_12H_1_2__2f5428b547.jpg,2f5428b547__HUVEC__Migra_o_PET_e_PEP_n1_-_RAW_PET_+_NEB_1uM_C5__tp12h__C5_12H_1_2.tiff,,,,
72,_SEG_RUIM/_super,,HUVEC,Migração (PET e PEP) n1 - RAW||PET + NEB 1uM||C5,12,2,64.035,HUVEC__Migra_o_PET_e_PEP_n1_RAW_PET_NEB_1uM_C5__tp12h__2__C5_12H_2_2__b248b322dd.jpg,b248b322dd__HUVEC__Migra_o_PET_e_PEP_n1_-_RAW_PET_+_NEB_1uM_C5__tp12h__C5_12H_2_2.tiff,,,,
73,_SEG_RUIM/_super,,HUVEC,Migração (PET e PEP) n1 - RAW||PET + NEB 1uM||C5,24,1,82.762,HUVEC__Migra_o_PET_e_PEP_n1_RAW_PET_NEB_1uM_C5__tp24h__1__C5_24H_1_2__6af51551c0.jpg,6af51551c0__HUVEC__Migra_o_PET_e_PEP_n1_-_RAW_PET_+_NEB_1uM_C5__tp24h__C5_24H_1_2.tiff,,,,
74,_SEG_RUIM/_super,,HUVEC,Migração (PET e PEP) n1 - RAW||PET + NEB 1uM||C5,24,2,75.585,HUVEC__Migra_o_PET_e_PEP_n1_RAW_PET_NEB_1uM_C5__tp24h__2__C5_24H_2_2__17691aa585.jpg,17691aa585__HUVEC__Migra_o_PET_e_PEP_n1_-_RAW_PET_+_NEB_1uM_C5__tp24h__C5_24H_2_2.tiff,,,,
75,_SEG_RUIM/_super,,HUVEC,Migração (PET e PEP) n2 - RAW||PEP + NEB 1uM||B1,8,1,63.688,HUVEC__Migra_o_PET_e_PEP_n2_RAW_PEP_NEB_1uM_B1__tp08h__1__B1_8H_1_2__7be1c29792.jpg,7be1c29792__HUVEC__Migra_o_PET_e_PEP_n2_-_RAW_PEP_+_NEB_1uM_B1__tp8h__B1_8H_1_2.tiff,,,,
76,_SEG_RUIM/_super,,HUVEC,Migração (PET e PEP) n2 - RAW||PEP + NEB 1uM||B1,12,1,53.277,HUVEC__Migra_o_PET_e_PEP_n2_RAW_PEP_NEB_1uM_B1__tp12h__1__B1_12H_1_2__b050d01a16.jpg,b050d01a16__HUVEC__Migra_o_PET_e_PEP_n2_-_RAW_PEP_+_NEB_1uM_B1__tp12h__B1_12H_1_2.tiff,,,,
77,_SEG_RUIM/_super,,HUVEC,Migração (PET e PEP) n2 - RAW||PEP + NEB 1uM||B1,24,1,33.445,HUVEC__Migra_o_PET_e_PEP_n2_RAW_PEP_NEB_1uM_B1__tp24h__1__B1_24H_1_2__7b82c62a3a.jpg,7b82c62a3a__HUVEC__Migra_o_PET_e_PEP_n2_-_RAW_PEP_+_NEB_1uM_B1__tp24h__B1_24H_1_2.tiff,,,,
78,_SEG_RUIM/_super,,HUVEC,Migração (PET e PEP) n2 - RAW||PEP + NEB 1uM||B1,24,2,28.753,HUVEC__Migra_o_PET_e_PEP_n2_RAW_PEP_NEB_1uM_B1__tp24h__2__B1_24H_2_3__11aad82875.jpg,11aad82875__HUVEC__Migra_o_PET_e_PEP_n2_-_RAW_PEP_+_NEB_1uM_B1__tp24h__B1_24H_2_3.tiff,,,,
79,_SEG_RUIM/_super,,HUVEC,Migração (PET e PEP) n2 - RAW||PEP||A2,8,1,50.08,HUVEC__Migra_o_PET_e_PEP_n2_RAW_PEP_A2__tp08h__1__A2_8H_1_2__ff629ecc3f.jpg,ff629ecc3f__HUVEC__Migra_o_PET_e_PEP_n2_-_RAW_PEP_A2__tp8h__A2_8H_1_2.tiff,,,,
80,_SEG_RUIM/_super,,HUVEC,Migração (PET e PEP) n2 - RAW||PEP||A2,8,2,51.344,HUVEC__Migra_o_PET_e_PEP_n2_RAW_PEP_A2__tp08h__2__A2_8H_2_3__ee865b4881.jpg,ee865b4881__HUVEC__Migra_o_PET_e_PEP_n2_-_RAW_PEP_A2__tp8h__A2_8H_2_3.tiff,,,,
81,_SEG_RUIM/_super,,HUVEC,Migração (PET e PEP) n2 - RAW||PEP||A2,12,1,53.112,HUVEC__Migra_o_PET_e_PEP_n2_RAW_PEP_A2__tp12h__1__A2_12H_1_2__bec6037b38.jpg,bec6037b38__HUVEC__Migra_o_PET_e_PEP_n2_-_RAW_PEP_A2__tp12h__A2_12H_1_2.tiff,,,,
82,_SEG_RUIM/_super,,HUVEC,Migração (PET e PEP) n2 - RAW||PEP||A2,12,2,61.873,HUVEC__Migra_o_PET_e_PEP_n2_RAW_PEP_A2__tp12h__2__A2_12H_2_2__267a4a1f3f.jpg,267a4a1f3f__HUVEC__Migra_o_PET_e_PEP_n2_-_RAW_PEP_A2__tp12h__A2_12H_2_2.tiff,,,,
83,_SEG_RUIM/_super,,HUVEC,Migração (PET e PEP) n2 - RAW||PEP||A2,24,1,70.255,HUVEC__Migra_o_PET_e_PEP_n2_RAW_PEP_A2__tp24h__1__A2_24H_1_3__294bd4aad2.jpg,294bd4aad2__HUVEC__Migra_o_PET_e_PEP_n2_-_RAW_PEP_A2__tp24h__A2_24H_1_3.tiff,,,,
